000 本書說明
001 第一回　　貢副使寬恩御變　康公子大義誅兇
002 第二回　　老書生臨江附異夢　小秀才旅店得奇聞
003 第三回　　安排巧計淫尼借巧遇以興災　硬拉奸情烈婦為奸夫而殉節
004 第四回　　太守為憐才公堂鞫鬼　臬台因選婿雪舫驚詩
005 第五回　　女婿忒多心欲兼才美　丈人偏作色故阻良緣
006 第六回　　真淑女賺殺假春容　假小姐嚇走真才子
007 第七回　　神君里怒斬白蛇精　王屋山大破黃衣寨
008 第八回　　東園賡雅調自許同心　南國有佳人再諧連理
009 第九回　　白公堤青天遭霹靂　毘陵道黑夜走佳人
010 第十回　　虎頭寨一女子屈服眾英雄　豹尾關兩袿裳權成雙伉儷
011 第十一回　　非奸細計賺白衣軍　是夫妻誤認綠林婦
012 第十二回　　解重圍偷兒報恩兼成偉績　脫貔貅佳人換相並受榮封
