001 幻中真 18590 第一回 　　賢丈母贈金成配偶　美妻子含醋索催妝
002 幻中真 18591 第二回 　　蠢凶徒兩場誚辱　快書生一旦崢榮
003 幻中真 18592 第三回 　　設奸謀嬌娃矢節　逢酷吏壯士含冤
004 幻中真 18593 第四回 　　彗星現恩釋無辜　妖孽形罪誅不法
005 幻中真 18594 第五回 　　涉水登山消盡胸中磈礧　觀風問俗茫然鶻突驚疑
006 幻中真 18595 第六回 　　念前妻坐懷不亂　為愛女欲結絲蘿
007 幻中真 18596 第七回 　　何小姐勸父存餘地　強大梁夜臥感罡氛
008 幻中真 18597 第八回 　　老妖狐弄法哄飢民　汪萬鍾天書平劇賊
009 幻中真 18598 第九回 　　汪萬鍾上表苦陳情　卞興祖棄尋官識父
010 幻中真 18599 第十回 　　父子相逢俱不識　祖孫會合暫開顏
011 幻中真 18600 第十一回 　　恐負心著人暗訪　堅孝念感動神明
012 幻中真 18601 第十二回 　　小進士扮貨郎巧遇大團圓　老宰相親送女于飛雙合巹
