001 警寤鐘 11880 第一回 　　伴光頭禿奴受累
002 警寤鐘 11881 第二回 　　遇媒根虔婆吃虧
003 警寤鐘 11882 第三回 　　陪嫁童妄思佳麗
004 警寤鐘 11883 第四回 　　代筆子到手功名
005 警寤鐘 11884 第五回 　　負俠氣拔刀還敕
006 警寤鐘 11885 第六回 　　發婆心驅鬼卻妻
007 警寤鐘 11886 第七回 　　為拿賊反因脫賊
008 警寤鐘 11887 第八回 　　因有情倒認無情
009 警寤鐘 11888 第九回 　　一碗飯千磨百折
010 警寤鐘 11889 第十回 　　兩聲雷九死一生
011 警寤鐘 11890 第十一回 　　活太歲驚心破膽
012 警寤鐘 11891 第十二回 　　泥周倉怒氣填胸
013 警寤鐘 11892 第十三回 　　賢德婦失歲得糠
014 警寤鐘 11893 第十四回 　　奸謀鬼賠錢折貼
015 警寤鐘 11894 第十五回 　　哄上船從今一著
016 警寤鐘 11895 第十六回 　　明歸神亙古千秋
