001 合浦珠 2930 第一回 　　梅花樓酒錢贈俠客
002 合浦珠 2931 第二回 　　秋煙婢兩度醉春風
003 合浦珠 2932 第三回 　　訪青樓誓締鴛鴦
004 合浦珠 2933 第四回 　　陷羅網同窗急難
005 合浦珠 2934 第五回 　　蠢頭顱在尋風月
006 合浦珠 2935 第六回 　　有心人巧竊花枝
007 合浦珠 2936 第七回 　　傳情錦字為憐纔
008 合浦珠 2937 第八回 　　觸怒權奸因卻婿
009 合浦珠 2938 第九回 　　投蘭若俠客除兇
010 合浦珠 2939 第十回 　　詠雪詩當壚一笑
011 合浦珠 2940 第十一回 　　因賽神計劫蘭閨秀
012 合浦珠 2941 第十二回 　　為深情魂遺金鳳釵
013 合浦珠 2942 第十三回 　　金山寺冤鬼現身
014 合浦珠 2943 第十四回 　　明月珠東床中選
015 合浦珠 2944 第十五回 　　小羅浮舊約重諧
016 合浦珠 2945 第十六回 　　春明門掛冠歸隱
