001 第一回　　小才女代父題詩
002 第二回　　老御史為兒謀婦
003 第三回　　白太常難途托嬌女
004 第四回　　吳翰林花下遇才人
005 第五回　　窮秀才辭婚富貴女
006 第六回　　醜郎君強作詞賦人
007 第七回　　暗更名才子遺珠
008 第八回　　悄窺侍郎兒識貨
009 第九回　　百花亭撇李尋桃
010 第十回　　一片石送鴻迎燕
011 第十一回　　有騰挪背地求人
012 第十二回　　沒奈何當場出醜
013 第十三回　　蘇秀才窮途賣賦
014 第十四回　　盧小姐後園贈金
015 第十五回　　秋試春闈雙得意
016 第十六回　　花姨月姊兩談心
017 第十七回　　勢位逼倉卒去官
018 第十八回　　山水遊偶然得婿
019 第十九回　　錯中錯各不遂心
020 第二十回　　錦上錦大家如願
