001 第一章　　匡贊
002 第二章　　規諫
003 第三章　　極諫
004 第四章　　剛正
005 第五章　　公直
006 第六章　　清廉
007 第七章　　持法
008 第八章　　政能
009 第九章　　忠烈
010 第十章　　節義
011 第十一章　　孝行
012 第十二章　　友悌
013 第十三章　　舉賢
014 第十四章　　識量
015 第十五章　　容恕
016 第十六章　　知微
017 第十七章　　聰敏
018 第十八章　　文章
019 第十九章　　著述
020 第二十章　　從善
021 第二十一章　　諛佞
022 第二十二章　　釐革
023 第二十三　　隱逸
024 第二十四　　褒錫
025 第二十五章　　懲戒
026 第二十六章　　勸勵
027 第二十七章　　酷忍
028 第二十八章　　諧謔
029 第二十九章　　記異
030 第三十章　　郊禪
031 第三十一章　　總論
