036 英烈傳 609 第三十六回 　　韓成將義死鄱陽　假太祖投水喪命
037 英烈傳 610 第三十七回 　　丁普郎假投友諒　六員將放火燒舟
038 英烈傳 611 第三十八回 　　遣四將埋伏禁江　劉軍師借風助陣
039 英烈傳 612 第三十九回 　　陳友諒鄱陽大戰　伯溫救主過難星
040 英烈傳 613 第四十回 　　朱太祖誤入廬山　捨佈施題詩恨僧
041 英烈傳 614 第四十一回 　　熊天瑞受降復叛　妖神大擺火龍陣
042 英烈傳 615 第四十二回 　　羅睺星魂返天堂　鐵冠點亮祖出洞
043 英烈傳 616 第四十三回 　　損大將日現黑子　胡深落馬被擒拏
044 英烈傳 617 第四十四回 　　常遇春收伏荊襄　鄧愈將活捉任亮
045 英烈傳 618 第四十五回 　　擊登聞斷明冤枉　常遇春平取淮東
046 英烈傳 619 第四十六回 　　幸濠州共沐恩光　徐達睹計取彥忠
047 英烈傳 620 第四十七回 　　薛將軍收周擒將　朱亮祖活拏尹善
048 英烈傳 621 第四十八回 　　殺巡哨假擊鑼梆　五太子火裏逃生
049 英烈傳 622 第四十九回 　　張士誠被圍西脫　朱太祖攻取浙江
050 英烈傳 623 第五十回 　　弄妖法虎豹豺狼　四將假扮打魚船
051 英烈傳 624 第五十一回 　　朱亮祖連勦六叛　破妖法擒拏天祿
052 英烈傳 625 第五十二回 　　潘原明獻策來降　眾將拏士信梟首
053 英烈傳 626 第五十三回 　　連環敵徐達用計　徐帥觀風主劫營
054 英烈傳 627 第五十四回 　　俞通海削平太倉　張虯盡忠自刎死
055 英烈傳 628 第五十五回 　　張豹排八門陣法　徐帥定計破八門
056 英烈傳 629 第五十六回 　　二城隍夢告行藏　莫老虎下書取救
057 英烈傳 630 第五十七回 　　耿炳文殺賊祭父　張茂才怒殺楊清
058 英烈傳 631 第五十八回 　　熊參政捷奏封章　雲龍誘楊茂家屬
059 英烈傳 632 第五十九回 　　破姑蘇士誠命殞　頭陀點化破姑蘇
060 英烈傳 633 第六十回 　　啞鐘鳴瘋僧顛狂　靈谷寺誌公墳墓
061 英烈傳 634 第六十一回 　　順天心位登大寶　馬娘娘立為正宮
062 英烈傳 635 第六十二回 　　方國珍遁入西洋　白塔寺龍啣大樹
063 英烈傳 636 第六十三回 　　征福建友定受戮　不花全家死報國
064 英烈傳 637 第六十四回 　　元兵敗順取汴梁　明兵夾石山受困
065 英烈傳 638 第六十五回 　　攻河北大梁納款　太祖遺書收君弼
066 英烈傳 639 第六十六回 　　克廣西劍戟輝煌　亮祖跳船殺三將
067 英烈傳 640 第六十七回 　　元宮中狐狸自獻　大明兵順帝被困
068 英烈傳 641 第六十八回 　　燕京破順帝奔亡　返金陵細訪民情
069 英烈傳 642 第六十九回 　　豁鼻馬裏應外合　十員將元營放火
070 英烈傳 643 第七十回 　　追元兵直出咸陽　四將擒拏張良輔
071 英烈傳 644 第七十一回 　　常遇春柳河棄世　元兵劫營士卒還
072 英烈傳 645 第七十二回 　　高麗國進表稱臣　太祖私行訪監生
073 英烈傳 646 第七十三回 　　獲細作將機就計　地開泉脈救明兵
074 英烈傳 647 第七十四回 　　現銅橋天賜奇祥　角神獸連叫三聲
075 英烈傳 648 第七十五回 　　賜鐵券功臣受爵　康茂才飛砲喪命
076 英烈傳 649 第七十六回 　　取西川劍閣兵降　傅友德古城得勝
077 英烈傳 650 第七十七回 　　練猢猻成都大戰　華雲龍火燒鐵索
078 英烈傳 651 第七十八回 　　皇帝廟祭祀先皇　有功臣得病歸天
079 英烈傳 652 第七十九回 　　劉伯溫辭官隱逸　鐵道士雲中助陣
080 英烈傳 653 第八十回 　　定山河慶賀封王
