076 東度記 11486 第七十六回 　　辛苗叟公門方便　小和尚還俗養親
077 東度記 11487 第七十七回 　　六老叟參禪論偈　三官長執冊說因
078 東度記 11488 第七十八回 　　殷獨與鬼蜮結交　穆義同吳仁遇怪
079 東度記 11489 第七十九回 　　奪人錢鈔遭人騙　肥己心腸把己傷
080 東度記 11490 第八十回 　　顧名思義消冤孽　化怪除邪總道心
081 東度記 11491 第八十一回 　　花蛇怪自供惡毒　蠢道人篤信除邪
082 東度記 11492 第八十二回 　　梁善娶妾得多男　邵禁因齋結眾社
083 東度記 11493 第八十三回 　　八齋友各敘罪孽　萬年僧獨任主壇
084 東度記 11494 第八十四回 　　高義勸戒一兄非　高仁解散六博社
085 東度記 11495 第八十五回 　　一偈謙光動傲生　五個精靈驚長老
086 東度記 11496 第八十六回 　　無仁孽輩現精靈　有長前因呈長老
087 東度記 11497 第八十七回 　　舒化修書請聖僧　怪狼聞經修善果
088 東度記 11498 第八十八回 　　恃強凌弱反傷身　做賊偷牛遭怪耍
089 東度記 11499 第八十九回 　　淹女胎村人作惡　查文卷大聖禮僧
090 東度記 11500 第九十回 　　尼總持度狼了道　藺員外警戒回心
091 東度記 11501 第九十一回 　　化善醫宗交感脈　客人貨出孝廉家
092 東度記 11502 第九十二回 　　善狼得度歸人道　店主驚心拜鬼王
093 東度記 11503 第九十三回 　　咒詛婆兒知悔過　姦淫魂夢逾東牆
094 東度記 11504 第九十四回 　　建道場迎接高僧　試禪心顯靈尊者
095 東度記 11505 第九十五回 　　陶情賣酒醉行商　王陽變婦迷孤客
096 東度記 11506 第九十六回 　　眾商發心修廟宇　三僧說偈滅邪氛
097 東度記 11507 第九十七回 　　諷經商真心顯露　惡鬼漢磨折疑心
098 東度記 11508 第九十八回 　　蕭刺史重道敬僧　老祖師觀顏知喜
099 東度記 11509 第九十九回 　　杯渡道人神缽戲　波羅和尚顯奇聞
100 東度記 11510 第一百回 　　東度僧善功圓滿　西域嶺佛祖還空
