060 歷史通俗演義-唐史 4618 第六十回 　　入番營單騎盟虜　忤帝女綁子入朝
061 歷史通俗演義-唐史 4619 第六十一回 　　定秘謀元舅除凶　竊主柄強藩抗命
062 歷史通俗演義-唐史 4620 第六十二回 　　貶忠州劉晏冤死　守臨洺張伾得援
063 歷史通俗演義-唐史 4621 第六十三回 　　三鎮連兵張家覆祀　四王僭號朱氏主盟
064 歷史通俗演義-唐史 4622 第六十四回 　　叱逆使顏真卿抗節　擊叛帥段秀實盡忠
065 歷史通俗演義-唐史 4623 第六十五回 　　僭帝號大興逆師　解賊圍下詔罪己
066 歷史通俗演義-唐史 4624 第六十六回 　　趨大梁德宗奔命　戰貝州朱滔敗還
067 歷史通俗演義-唐史 4625 第六十七回 　　朱泚敗死彭原城　李晟誘誅田希鑒
068 歷史通俗演義-唐史 4626 第六十八回 　　竇桂娘密謀除逆　尚結贊狡計劫盟
069 歷史通俗演義-唐史 4627 第六十九回 　　格君心儲君免禍　釋主怨公主和番
070 歷史通俗演義-唐史 4628 第七十回 　　陸敬輿斥奸忤旨　韓全義掩敗為功
071 歷史通俗演義-唐史 4629 第七十一回 　　王叔文得君怙寵　韋執誼坐黨貶官
072 歷史通俗演義-唐史 4630 第七十二回 　　擒劉辟戡定西川　執李錡蕩平鎮海
073 歷史通俗演義-唐史 4631 第七十三回 　　討成德中使無功　策魏博名相定議
074 歷史通俗演義-唐史 4632 第七十四回 　　賢公主出閨循婦道　良宰輔免禍見陰功
075 歷史通俗演義-唐史 4633 第七十五回 　　卻美妓渡水薄郾城　用降將冒雪擒元濟
076 歷史通俗演義-唐史 4634 第七十六回 　　諫佛骨韓愈遭貶　縛逆首劉悟倒戈
077 歷史通俗演義-唐史 4635 第七十七回 　　平叛逆因驕致禍　好盤游拒諫飾非
078 歷史通俗演義-唐史 4636 第七十八回 　　河朔再亂節使遭戕　深州撤圍侍郎申命
079 歷史通俗演義-唐史 4637 第七十九回 　　裂制書郭太后叱奸　信卜士張工頭構亂
080 歷史通俗演義-唐史 4638 第八十回 　　盅敬宗逆閹肆逆　屈劉蕡名士埋名
081 歷史通俗演義-唐史 4639 第八十一回 　　誅叛帥朝使爭功　誣相臣天潢坐罪
082 歷史通俗演義-唐史 4640 第八十二回 　　嫉強藩杜牧作罪言　除逆閹李訓施詭計
083 歷史通俗演義-唐史 4641 第八十三回 　　甘露敗謀黨人流血　鈞垣坐鎮都市弭兵
084 歷史通俗演義-唐史 4642 第八十四回 　　奉皇弟權閹矯旨　迎公主猛將建功
085 歷史通俗演義-唐史 4643 第八十五回 　　興大軍老成定議　墮狡計逆豎喪元
086 歷史通俗演義-唐史 4644 第八十六回 　　信方士藥死唐武宗　立太叔竄斃李首相
087 歷史通俗演義-唐史 4645 第八十七回 　　復河隴邊民入覲　立鄆夔內豎爭權
088 歷史通俗演義-唐史 4646 第八十八回 　　平浙東王式用智　失安南蔡襲盡忠
089 歷史通俗演義-唐史 4647 第八十九回 　　易猛將進克交趾城　得義友夾攻徐州賊
090 歷史通俗演義-唐史 4648 第九十回 　　斬龐勛始清叛孽　葬同昌備極奢華
091 歷史通俗演義-唐史 4649 第九十一回 　　曾元裕擊斬王仙芝　李克用叛戮段文楚
092 歷史通俗演義-唐史 4650 第九十二回 　　鎮淮南高駢縱寇　入關中黃巢稱尊
093 歷史通俗演義-唐史 4651 第九十三回 　　奔成都誤寵權閹　復長安追殲大盜
094 歷史通俗演義-唐史 4652 第九十四回 　　入陷阱幸脫上源驛　劫車駕急走大散關
095 歷史通俗演義-唐史 4653 第九十五回 　　襄王熅竄死河中　楊行密盜據淮甸
096 歷史通俗演義-唐史 4654 第九十六回 　　討河東王師敗績　走山南閹黨失機
097 歷史通俗演義-唐史 4655 第九十七回 　　三鎮犯闕輦轂震驚　一戰成功邠寧戡定
098 歷史通俗演義-唐史 4656 第九十八回 　　占友妻張夫人進箴　挾兵威劉太監廢帝
099 歷史通俗演義-唐史 4657 第九十九回 　　以亂易亂劫遷主駕　用毒攻毒盡殺宦官
100 歷史通俗演義-唐史 4658 第一百回 　　徒乘輿朱全忠行弒　移國祚昭宣帝亡唐
