001 第一回　　賈侍郎藥醫愛子　甄知縣刑訊妖僧
002 第二回　　蔣玉函完璧歸趙　花襲人破鏡重圓
003 第三回　　阻風雪兄弟談心　訓子姪夫妻反目
004 第四回　　王夫人含飴弄孫　史湘雲遺孤誕女
005 第五回　　祭宗祠賈氏重興　宴廷臣皇恩寵渥
006 第六回　　憨寶玉輕視奇珍　敏探春細談怪物
007 第七回　　梅公子會試進京　柳郎君搭幫探友
008 第八回　　一簾風雨祀花神　半夜綢繆償孽債
009 第九回　　勸扶正鳳姐憐夫　因積德平兒生子
010 第十回　　寶玉叔姪入翰林　探春姊妹邀詩社
011 第十一回　　靖邊疆榮公拜相　置別墅赦老隱居
012 第十二回　　諸閨秀花徑遊春　眾紈袴柳陰試馬
013 第十三回　　說官司金氏求情　鬥龍舟薛蟠送禮
014 第十四回　　制瓜燈閨中鬥巧　賞荷花席上聯吟
015 第十五回　　聘淑媛賈蘭受室　喜乘龍巧姐於歸
016 第十六回　　賴尚顯萬里傳書　梅瑟卿千金贈妾
017 第十七回　　邢岫煙割肉孝親　賈存周承恩賞壽
018 第十八回　　五兒私乞玫瑰露　王婆夜遇芙蓉神
019 第十九回　　梅花雪啜茗懷人　消寒詩食瓜奪彩
020 第二十回　　萬柳莊惡奴欺主　會仙橋老舅遭拳
021 第二十一回　　顫鸞篦如玉吹笙　囀鶯簧雙紅度曲
022 第二十二回　　舞鳳凰三星共照　佩麒麟四美聯姻
023 第二十三回　　告親老賈璉辭差　謁慈幃榮公罷相
024 第二十四回　　指迷途惜春圓光　游幻境寶玉驚夢
