001 第一回　　雪泥鴻爪重證前緣　美酒良宵縱談世故
002 第二回　　永善村耆老救鄉鄰　武昌府考生驚奇禍
003 第三回　　困囹圄毀家紓難　悲世態負義忘恩
004 第四回　　老奴仗義激烈陳詞　方外多情慇懃下榻
005 第五回　　法外法僧舍棲身　遇中遇旅人得所
006 第六回　　山水娛情名流驚豔　桑麻閒話村老談心
007 第七回　　開勝筵招飲一枝園　訪彼美重遊半山寺
008 第八回　　投猛藥公子解癡魔　進良言佳人施慧舌
009 第九回　　嘉賓賢主隔省同年　雪虐風饕窮途奇遇
010 第十回　　名妓知人解衣推食　英豪重義誓海盟山
011 第十一回　　觀燈景豪傑護嬌娃　設盛筵良朋修祖餞
012 第十二回　　公子多情驚逢舊遇　美人薄命哭訴離衷
013 第十三回　　懲惡鴇賢令尹施威　避貪狼俏佳人脫籍
014 第十四回　　高捷南宮鄙夫喪膽　榮歸故里寒士揚眉
015 第十五回　　順承親志僦屋移家　冀蓋前愆求榮反辱
016 第十六回　　綸綍承恩詞臣應詔　絲羅踐約淑女於歸
017 第十七回　　情切切軟語勸新郎　意勤勤交章薦豪傑
018 第十八回　　褚飛熊山徑斬淫僧　洪一鶚酒樓逢故友
019 第十九回　　試金殿世職作中書　毀公堂土豪連巨盜
020 第二十回　　證禪關菩提三指覺　施武勇僧俗兩傾心
021 第二十一回　　繆瑞麟大破德安城　湯獻忠進剿白沙鋪
022 第二十二回　　邪術驚人官軍敗績　英雄比武眾將逞能
023 第二十三回　　洪一鶚督師剿逆寇　褚飛熊擒賊建奇功
024 第二十四回　　勇先鋒誘敵克黃安　偽軍師退兵屯白廟
025 第二十五回　　黃安城四路進兵　楊家崗二熊大戰
026 第二十六回　　洪提督設計服強梁　劉天熊進言規契友
027 第二十七回　　士飽馬騰雄師奮勇　智窮力竭賊首遭擒
028 第二十八回　　巨寇肅清紅旗報捷　聖恩浩大青史標名
029 第二十九回　　開府兩江整官察吏　提巡五省戢暴安良
030 第三十回　　兩處空談且留餘意　一編佳話待續前緣
