000 本書說明
001 第一回　　癡劣子游湖獻醜　俏狐仙暗地謀人
002 第二回　　趁家筵背地偷形　圖引誘憑空作祟
003 第三回　　蕉帕持贈邀歡會　詩句推敲猜啞謎
004 第四回　　俊俏郎欣交玉洞　薔薇花變化金釵
005 第五回　　托友生通家作伐　邀隆聘公子辭婚
006 第六回　　寄蠟丸求援宰相　盜明珠持贈情郎
007 第七回　　議雁禮忽來寶物　主婚姻哭爾躬征
008 第八回　　提往事洞房鬧錯　約相會衣上留題
009 第九回　　都招討征路逢將　狐大聖叩仙脫胎
010 第十回　　蘭房中泄漏詩句　天目山欣受冊書
011 第十一回　　都使安營白鹿岡　劉豫抖戰金龍殿
012 第十二回　　獲遁甲花園演法　喚天雷試院奪元
013 第十三回　　莽賊子力擒猛虎　風流婿捷報宮花
014 第十四回　　萬俟離設計謀害　龍狀元從戎別離
015 第十五回　　長春子助陣偷寨　假帝王夢魂戕生
016 第十六回　　奏凱臣同蒙敕贈　純陽子指點前因
