098 施公案 8216 第九十八回 　　懼詔問妖僧謊奏　破邪術天師出班
099 施公案 8217 第九十九回 　　張手雷法台驅邪　擲鐵牌龍潭致雨
100 施公案 8218 第一○○回 　　王靈官拿妖繳令　番僧法壇現原形
101 施公案 8219 第一○一回 　　施賢臣遵旨求雨　傻和尚閉鎖空房
102 施公案 8220 第一○二回 　　念歌謠助雨濟世　種銀苗遁跡歸山
103 施公案 8221 第一○三回 　　眾倉戶巧蒙作弊　施大人復申牌示
104 施公案 8222 第一○四回 　　奏條陳倉上守法　施大人領命出巡
105 施公案 8223 第一○五回 　　入京師賢臣陛見　扮客商私訪民情
106 施公案 8224 第一○六回 　　少婦送殯露破綻　惡霸行路逞威風
107 施公案 8225 第一○七回 　　走漫窪小西取水　逢賊寇賢臣遇災
108 施公案 8226 第一○八回 　　眾盜寇嘲笑對句　關小西聞信驚心
109 施公案 8227 第一○九回 　　商家林賢臣被困　三義廟義士發風
110 施公案 8228 第一一○回 　　施大人被綁明柱　關義士獨闖賊巢
111 施公案 8229 第一一一回 　　關小西輕冒鋒刃　施按院暗驚魂魄
112 施公案 8230 第一一二回 　　小銀槍鏖戰關太　眾綠林箭射施公
113 施公案 8231 第一一三回 　　飛山虎喝退群伙　眾草寇拜叩大人
114 施公案 8232 第一一四回 　　賀義士隨往山東　施欽差住宿濟南
115 施公案 8233 第一一五回 　　請天霸行路遇險　施賢臣住店逢賊
116 施公案 8234 第一一六回 　　刁氏女幾年得利　張豹兒一旦遭擒
117 施公案 8235 第一一七回 　　飛山虎賊店遇友　施大人覓逕求賢
118 施公案 8236 第一一八回 　　鴻雁三聲奇冤有救　新墳一祭舊恨方消
119 施公案 8237 第一一九回 　　朱蠢婦直言無隱　鄭公差應變隨機
120 施公案 8238 第一二○回 　　傳鄰右曲直共證　聽堂詞涇渭皆分
121 施公案 8239 第一二一回 　　馮大生圖財害命　金有義提審出監
122 施公案 8240 第一二二回 　　眾官按戶口造冊　千總報漕運米糧
123 施公案 8241 第一二三回 　　賀天保備兵擒寇　方小嘴設計搶糧
124 施公案 8242 第一二四回 　　眾官兵捆送方成　賀義士力追於六
125 施公案 8243 第一二五回 　　飛山虎被抓亡身　賽袁達中鏢落馬
126 施公案 8244 第一二六回 　　見稻穗擬名派差　聽民詞新聞惡霸
127 施公案 8245 第一二七回 　　誤差使班頭遭譴　求閃批家口收監
128 施公案 8246 第一二八回 　　張岐山割肉見怪　王朝鳳飲酒得差
129 施公案 8247 第一二九回 　　激將法巧煩好漢　探隱情偶遇佳人
130 施公案 8248 第一三○回 　　李醉鬼冤沉得釋　韓道卿惡滿遭擒
131 施公案 8249 第一三一回 　　關好漢下帖吃驚　黃莊頭聞名添喜
132 施公案 8250 第一三二回 　　關小西假請惡霸　賽鄭恩暗算忠良
133 施公案 8251 第一三三回 　　朱光祖行刺遇友　黃天霸信義全交
134 施公案 8252 第一三四回 　　賽時遷暗保賢臣　施大人誆捉惡霸
135 施公案 8253 第一三五回 　　關小西押送回衙　施大人候旨問罪
136 施公案 8254 第一三六回 　　響號炮斬黃隆基　接皇宣審吳進孝
137 施公案 8255 第一三七回 　　喬三脫逃黃關請罪　施公出示官役搜人
138 施公案 8256 第一三八回 　　拿惡奴朱亮獻功　赴市曹囚徒梟首
139 施公案 8257 第一三九回 　　賢臣遣小西請客　天霸尋王棟出城
140 施公案 8258 第一四○回 　　忠心感神聖托夢　州衙看案卷察情
141 施公案 8259 第一四一回 　　主僕閒談說夢景　賢臣改扮訪民情
142 施公案 8260 第一四二回 　　酒肆聞霸道名姓　路遇得惡徒真情
143 施公案 8261 第一四三回 　　惡閻王誆請相面　施賢臣巧用說詞
144 施公案 8262 第一四四回 　　喬四怒激羅似虎　惡霸拷打施大人
145 施公案 8263 第一四五回 　　張才求情暗救賢臣　小西下帖巧逢天霸
146 施公案 8264 第一四六回 　　活人命得知消息　救恩官暗探吉凶
147 施公案 8265 第一四七回 　　黃天霸踩訪賊宅　惡家奴謀害賢臣
148 施公案 8266 第一四八回 　　城隍土地作護法　白狐大仙引路途
149 施公案 8267 第一四九回 　　聞警惡閻王逃走　奉差黃壯士追亡
150 施公案 8268 第一五○回 　　黃天霸獨戰眾寇　金大力巧遇英雄
151 施公案 8269 第一五一回 　　王棟解群圍認友　李興救家主勾人
152 施公案 8270 第一五二回 　　金大力棍掃眾惡棍　黃天霸鏢傷六和尚
153 施公案 8271 第一五三回 　　黃天霸押解交差　施賢臣回衙審案
154 施公案 8272 第一五四回 　　黃帶子莊頭說情　惡閻王羅四正法
155 施公案 8273 第一五五回 　　商家林費玉鳴冤　河間府施公接狀
156 施公案 8274 第一五六回 　　二官府告假欽差　五大人住河間府
157 施公案 8275 第一五七回 　　設謀誆捉五林啊　派差遍訪一撮毛
158 施公案 8276 第一五八回 　　討限期連累家屬　說諧話訪出情由
159 施公案 8277 第一五九回 　　得虛實姜成送信　掃巢穴眾寇伏誅
160 施公案 8278 第一六○回 　　驛館立拘牛腿炮　鄭州踩訪一枝桃
161 施公案 8279 第一六一回 　　白雲庵計全泄底　玄天廟天霸尋蹤
162 施公案 8280 第一六二回 　　和尚開山門答話　天霸追謝虎中鏢
163 施公案 8281 第一六三回 　　天霸回公館養傷　朱李投鄭城望友
164 施公案 8282 第一六四回 　　賢臣任邱縣調兵　朱計李家務求救
165 施公案 8283 第一六五回 　　金亭館豪傑定計　歸德驛謝虎被擒
166 施公案 8284 第一六六回 　　旅館婆替夫告狀　藍田玉提審出監
