001 第一回　　玩春光山塘遇美　尋秋色玄墓贈金
002 第二回　　慶元宵善言滕武　進天香巧遇吳娃
003 第三回　　訪佳人空門結義　晤良友道路聞名
004 第四回　　託記室引針尋線　得青衣寄玉傳香
005 第五回　　遣書生村兒竊帕　會契友羽士留情
006 第六回　　赴科場江中遭禍　報恩德寨內存身
007 第七回　　俏書生連傳詞藻　美英娘密訂終身
008 第八回　　王府中椿萱遭變　吳衙內惡棍強婚
009 第九回　　再遊杭綠提松詠　復吳門西席蘭篇
010 第十回　　赴秋闈儒生登榜　進京都難女逢仙
011 第十一回　　聞兇耗書生下第　強逼嫁寨女離山
012 第十二回　　占春魁權奸妒事　封列侯仙丈傳情
013 第十三回　　辭月老春園計會　懇冰人繡戶佳期
014 第十四回　　香閨內花神夢兆　錦堂前桂子雙生
015 第十五回　　錦衣歸頑樞劣棟　脫凡居雪鳳花鸞
016 第十六回　　登金榜雙成合巹　慶齊眉各受皇恩
