001 第一回　　月樓仙跡　艷妾專房
002 第二回　　見姨驚美　拘禮辭婚
003 第三回　　游園偷情　尋香召舋
004 第四回　　拜壽留妹　玩詩逼歸
005 第五回　　訓女遺箋　妒姬作祟
006 第六回　　拷逼掌珠　怒傷切戚
007 第七回　　計誘老拙　珠拾江心
008 第八回　　癡生染病　義友央媒
009 第九回　　面許朱陳　硬寫絕據
010 第十回　　聽月題詩　引生遇故
011 第十一回　　訪美探樓　遇婢破夢
012 第十二回　　巧試佳人　戲捺書生
013 第十三回　　許姻倩筆　赴選登科
014 第十四回　　奸相逼婚　怨女離魂
015 第十五回　　新詩免罪　舊好露奸
016 第十六回　　謫官憐女　還珠見母
017 第十七回　　誤認岳丈　錯逢嫫母
018 第十八回　　困園逾牆　完姻拒婿
019 第十九回　　正言規友　當道鋤奸
020 第二十回　　風散浮雲　情圓聽月
