001 天女散花 14403 第一回 　　極樂天大佛論道　情天女應敕散花
002 天女散花 14404 第二回 　　駕祥雲慧眼察看　流沙河蝦魚大戰
003 天女散花 14405 第三回 　　蜘蛛精自作自孽　大豬妖醜態畢露
004 天女散花 14406 第四回 　　豬妖被禁黑風洞　天女法打金錢豹
005 天女散花 14407 第五回 　　喚美女木魚暗號　責惡僧天女被禁
006 天女散花 14408 第六回 　　李金星西方報信　如來佛遣將護法
007 天女散花 14409 第七回 　　行者大戰眾妖僧　天女火燒寶林寺
008 天女散花 14410 第八回 　　天神觀景大荒山　仙女下棋水簾洞
009 天女散花 14411 第九回 　　毀佛像悟空施威　除妖穴護法奏功
010 天女散花 14412 第十回 　　悟空怒打毒蛇精　三藏設法驅妖魔
011 天女散花 14413 第十一回 　　假小姐盜服精珠　豬悟能吃何首烏
012 天女散花 14414 第十二回 　　回東土唐帝敕封　免災厄天女散花
