001 賽花鈴 2508 第一回 　　護花神陽臺竊雨
002 賽花鈴 2509 第二回 　　劫村落潢池弄兵
003 賽花鈴 2510 第三回 　　慧嬌娥衡文稱藻鑒
004 賽花鈴 2511 第四回 　　俏丫鬟帶月闖書齋
005 賽花鈴 2512 第五回 　　慈覺寺春風別夢
006 賽花鈴 2513 第六回 　　晚香亭夜月重期
007 賽花鈴 2514 第七回 　　感新詩西窗續舊好
008 賽花鈴 2515 第八回 　　贈吳鉤旅次識英雄
009 賽花鈴 2516 第九回 　　闖虎穴美媛故人雙解難
010 賽花鈴 2517 第十回 　　觸權奸流西剿寇共罹殃
011 賽花鈴 2518 第十一回 　　勢利婆信謗寒盟
012 賽花鈴 2519 第十二回 　　貞潔女捐軀殉節
013 賽花鈴 2520 第十三回 　　憑俠友功成奏凱
014 賽花鈴 2521 第十四回 　　遊山寺邂逅嬌姿
015 賽花鈴 2522 第十五回 　　上冤表千里召孤臣
016 賽花鈴 2523 第十六回 　　賜環詔一朝聯三媛
