001 廉明奇判公案 14301 第一章 　　人命類
002 廉明奇判公案 14302 第二章 　　姦情類
003 廉明奇判公案 14303 第三章 　　盜賊類
004 廉明奇判公案 14304 第四章 　　爭占類
005 廉明奇判公案 14305 第五章 　　騙害類
006 廉明奇判公案 14306 第六章 　　威逼類
007 廉明奇判公案 14307 第七章 　　拐帶類
008 廉明奇判公案 14308 第八章 　　墳山類
009 廉明奇判公案 14309 第九章 　　婚姻類
010 廉明奇判公案 14310 第十章 　　債負類
011 廉明奇判公案 14311 第十一章 　　戶役類
012 廉明奇判公案 14312 第十二章 　　鬥毆類
013 廉明奇判公案 14313 第十三章 　　繼立類
014 廉明奇判公案 14314 第十四章 　　脫罪類
015 廉明奇判公案 14315 第十五章 　　執照類
016 廉明奇判公案 14316 第十六章 　　旌表類
