001 第一回　　蕩魔山戒刀成形　隱朝歌賢士賣卜
002 第二回　　通神卜判斷無差　驗先天死生有數
003 第三回　　觸天怒柔物降生　明道術佳人透機
004 第四回　　石婆子求救孤兒　任佳人教施異術
005 第五回　　傳解法孝子離災　依妙術慈母會子
006 第六回　　還卦資母子酬恩　疑筮術主僕推詳
007 第七回　　試卜爻偶得凶信　特求救別有生機
008 第八回　　石婆子道漏救機　桃花女泄傳神咒
009 第九回　　求搭救彭剪添壽　憤破卦周乾生嗔
010 第十回　　騙親事欺瞞詐就　誤中計強逼聯成
011 第十一回　　惱婚姻需索聘物　請兇煞中毒施謀
012 第十二回　　明陷阱顧圖解脫　知後事先泄玄機
013 第十三回　　邪鬥正神聖無私　真贏假陰陽有准
014 第十四回　　桃花女以法破法　周公爺圖害被害
015 第十五回　　桃花三解天罡法　周乾再布壓魔謀
016 第十六回　　困名疆陰陽鬥智　識本來二聖還原
