001 第一回　　摘檳榔老姑露口　操子母嗇漢勞心
002 第二回　　多情憐白面干白虹潦倒醉鄉　賤價買黃金金守溪浮沉利海
003 第三回　　花燭下氣倒丈人峰　風雪途誤識奸雄面
004 第四回　　患難臨頭陳與權雪中遇俠　冤家狹路劉天相桿下亡身
005 第五回　　救饑溺暗裡贈多金　為朋友熱心得奇禍
006 第六回　　三司設計救危難豪傑遭刑　萬金薦友入風雲奸雄得路
007 第七回　　謀客貨計賺井中人　露官銀屈遭盆下獄
008 第八回　　桃花馬陌上騁佳人　玉洞軒罏頭醉才子
009 第九回　　惡衙蠹坑人窮秀才望門墮淚　賢閨女矢節俠丈夫飛垣救人
010 第十回　　逃災難舉目無親　救無辜挺身代辟
011 第十一回　　鬧公堂村夫殉義　占田產恩婦離家
012 第十二回　　兩頭脫空負心人忒煞欺心　一計收羅長舌婦偏生饒舌
013 第十三回　　認假成真舅舅甥甥弄成活鬼　道真還假擒擒縱縱算就深機
014 第十四回　　授居停一女報德　投山左萬里尋親
015 第十五回　　臨清驛氣殺癩頭官　大同府喜遇知心友
016 第十六回　　恩怨分明賢太守掛冠歸去　賢奸報復小翰林衣錦還鄉
