001 古本水滸傳 21877 第一回 　　及時雨論功讓馬　青眼虎奉命築亭
002 古本水滸傳 21878 第二回 　　丁九郎真誠款客　段孔目假話欺人
003 古本水滸傳 21879 第三回 　　燕青失陷大名城　史進氣走玄通觀
004 古本水滸傳 21880 第四回 　　九紋龍大鬧黑風岡　玉麒麟親下樑山泊
005 古本水滸傳 21881 第五回 　　高沖漢中槍殞命　欒廷玉奉召興兵
006 古本水滸傳 21882 第六回 　　劉唐索超同被擒　李逵關勝雙中箭
007 古本水滸傳 21883 第七回 　　黑旋風劫寨遇張清　宋公明詭言斬孫立
008 古本水滸傳 21884 第八回 　　布疑陣叫反出林龍　設奇謀大敗欒廷玉
009 古本水滸傳 21885 第九回 　　鄆州城刁奴陷主　梁山泊義僕鳴冤
010 古本水滸傳 21886 第十回 　　忠義堂點將分兵　鄆州府反牢劫獄
011 古本水滸傳 21887 第十一回 　　碎剮衙內李應報仇　撞破頭顱韓忠殉主
012 古本水滸傳 21888 第十二回 　　林教頭病臥梁山泊　花和尚誤走富安莊
013 古本水滸傳 21889 第十三回 　　富太公有意擒僧　魯智深無心遇盜
014 古本水滸傳 21890 第十四回 　　除強暴火燒截雲嶺　報冤仇屠洗富安莊
015 古本水滸傳 21891 第十五回 　　朱笏山英雄設計　沂州府惡少亡身
016 古本水滸傳 21892 第十六回 　　聞統制大戰朱笏山　高太守生還沂州府
017 古本水滸傳 21893 第十七回 　　宋公明夢入東京　公孫勝神遊北嶽
018 古本水滸傳 21894 第十八回 　　白虎神劫糧捉周通　黃龍道鬥法敗樊瑞
019 古本水滸傳 21895 第十九回 　　入雲龍破陣收吳角　黑旋風避席鬥閻光
020 古本水滸傳 21896 第二十回 　　混江龍重臨舊地　分水犀追訴前情
021 古本水滸傳 21897 第二十一回 　　揭陽嶺李俊祭亡靈　黃流村穆弘遘警變
022 古本水滸傳 21898 第二十二回 　　癩頭黿鄉里逞豪強　油簽子山村傳密信
023 古本水滸傳 21899 第二十三回 　　沒遮攔誅酆都黑煞　癩頭黿鬥浪裡白跳
024 古本水滸傳 21900 第二十四回 　　小孤山李俊報仇　定陶縣刁椿遇害
025 古本水滸傳 21901 第二十五回 　　無毛蟹冤陷定陶城　活閻羅獨下樑山泊
026 古本水滸傳 21902 第二十六回 　　七雄大破定陶城　二阮誤走金鄉縣
027 古本水滸傳 21903 第二十七回 　　飛毛腿水泊請徐寧　金槍手陣前擒呂振
028 古本水滸傳 21904 第二十八回 　　說人情收降九頭鳥　看榜文激惱黑旋風
029 古本水滸傳 21905 第二十九回 　　黃蜂嶺病關索揚威　九里墩拚命三除害
030 古本水滸傳 21906 第三十回 　　天慧星夜半降妖　雲莊主日中留客
031 古本水滸傳 21907 第三十一回 　　二英雄血濺雲家莊　一都監敗退黃蜂嶺
032 古本水滸傳 21908 第三十二回 　　項充李袞雙告急　宋江吳用各分兵
033 古本水滸傳 21909 第三十三回 　　聞統制威鎮兗州府　小張良智敗宋公明
034 古本水滸傳 21910 第三十四回 　　雲峰谷三雄求藥　純陽宮一道逞強
035 古本水滸傳 21911 第三十五回 　　金眼彪火燒純陽宮　武行者大鬧曾家店
036 古本水滸傳 21912 第三十六回 　　宋公明疆場鬥武　兗州府黑夜鏖兵
037 古本水滸傳 21913 第三十七回 　　徐寧怒斬九頭鳥　宋江智鬥小張良
038 古本水滸傳 21914 第三十八回 　　宋公明乘夜破兗州　賈居信遭擒死水泊
039 古本水滸傳 21915 第三十九回 　　朱軍師計破雞鳴山　武行者力斬賽存孝
040 古本水滸傳 21916 第四十回 　　李逵大鬧天齊廟　戴宗失陷泰安州
041 古本水滸傳 21917 第四十一回 　　燕浪子奇謀劫牢獄　孫道人遁甲退追兵
042 古本水滸傳 21918 第四十二回 　　宋江智敗鐵方梁　關勝計取泰安府
043 古本水滸傳 21919 第四十三回 　　黑旋風偷割溫太守　魯智深大鬧鳳凰村
044 古本水滸傳 21920 第四十四回 　　青草坡巧逢張老實　紅花峪遁走過天星
045 古本水滸傳 21921 第四十五回 　　眾好漢火燒雙龍寺　一將軍大戰靈雞峰
046 古本水滸傳 21922 第四十六回 　　林沖怒打豐田鎮　宋江兵襲寇州城
047 古本水滸傳 21923 第四十七回 　　公孫勝鬥法斬邱玄　呼延灼賺城捉高讓
048 古本水滸傳 21924 第四十八回 　　宋公明智伏周謹　豹子頭力誅洪彥
049 古本水滸傳 21925 第四十九回 　　紀安邦拜將興師　宋公明分兵破陣
050 古本水滸傳 21926 第五十回 　　玄女宮神攝天書　梁山泊雷轟石碣
