001 斬鬼傳 754 第一回 　　金鑾殿求榮得禍　酆都府舍鬼談人
002 斬鬼傳 755 第二回 　　訴根由兩神共憤　逞豪強三鬼齊謅
003 斬鬼傳 756 第三回 　　咸司馬計救賽西施　富先鋒箭射涎臉鬼
004 斬鬼傳 757 第四回 　　因齷齪同心訪奇士　為仔細彼此結冤家
005 斬鬼傳 758 第五回 　　忘父仇偏成莫逆　求官位反失家私
006 斬鬼傳 759 第六回 　　誆騙人反被人摳掐　丟謊鬼卻教鬼偷屍
007 斬鬼傳 760 第七回 　　對芳樽兩人賞明月　獻美酒五鬼鬧鍾馗
008 斬鬼傳 761 第八回 　　悟空庵懶誅黑眼鬼　煙花寨智請白眉神
009 斬鬼傳 762 第九回 　　喜好色潛移三地　愛貪杯謬引神仙
010 斬鬼傳 763 第十回 　　妖氣淨楞睜歸地獄　功行滿鍾馗上天堂
