001 聚仙亭 18444 第一回 　　謝公子郊外遇友　袁柳莊風鑒驚人
002 聚仙亭 18445 第二回 　　海灘邊遇怪物偕花燭　聚仙亭揭封皮走妖魔
003 聚仙亭 18446 第三回 　　設奸計劉氏投井　請赴席自身殞命
004 聚仙亭 18447 第四回 　　俠士探監淮安府　天師巡察城裡妖
005 聚仙亭 18448 第五回 　　審冤情請天將滅除妖怪　識英才代甥女願作冰人
006 聚仙亭 18449 第六回 　　真才子揚州投書坦腹東牀　假佳人花園覓偶私效鸞鳳
007 聚仙亭 18450 第七回 　　天師遣將花園捉怪　謝廷途路山林遇妖
008 聚仙亭 18451 第八回 　　劉從虎騙誘貞婦身正法　夏太師舉薦秀才招駙馬
009 聚仙亭 18452 第九回 　　公主被妖攝去中毒　太后設計賺哄打印
010 聚仙亭 18453 第十回 　　聖母滅五毒討封赴仙闕　謝廷畢婚姻衣錦大團圓
