001 第一類　　脫剝騙
002 第二類　　丟包騙
003 第三類　　換銀騙
004 第四類　　詐哄騙
005 第五類　　偽交騙
006 第六類　　牙行騙
007 第七類　　引賭騙
008 第八類　　露財騙
009 第九類　　謀財騙
010 第十類　　盜劫騙
011 第十一類　　強搶騙
012 第十二類　　在船騙
013 第十三類　　詩詞騙
014 第十四類　　假銀騙
015 第十五類　　衙役騙
016 第十六類　　婚娶騙
017 第十七類　　姦情騙
018 第十八類　　婦人騙
019 第十九類　　拐帶騙
020 第二十類　　買學騙
021 第二十一類　　僧道騙
022 第二十二類　　煉丹騙
023 第二十三類　　法術騙
024 第二十四類　　引嫖騙
