001 第一回　　通明殿玉帝宣綸旨　戲織女金童遭天譴
002 第二回　　李老君慈心救金童　天孫女被謫雲錦官
003 第三回　　牛員外晚年得子　惡馬氏唆夫占產
004 第四回　　一旦無常員外病逝　喜怒不測金郎被打
005 第五回　　金牛星下凡救金郎　惡馬氏存心害小叔
006 第六回　　大分家僅得一牛　小便宜馬氏歡心
007 第七回　　天孫女宮中思情　玉清殿聖母請旨
008 第八回　　太白金星點化金郎　一封遺書留別兄長
009 第九回　　馬氏女惡貫滿盈　會織女天河洗浴
010 第十回　　敘舊情二次遭天譴　召天將大鬧雲錦宮
011 第十一回　　李金星二次解圍　再遭貶各分東西
012 第十二回　　天孫如願鵲橋重會　七夕相逢留名千載
