001 第一章　　腐責
002 第二章　　敘係
003 第三章　　遇豔
004 第四章　　鄂變
005 第五章　　鄂政
006 第六章　　述憾
007 第七章　　訪美
008 第八章　　規戰
009 第九章　　復滬
010 第十章　　收吳
011 第十一章　　完鎮
012 第十二章　　女箴
013 第十三章　　聞敗
014 第十四章　　圖寧
015 第十五章　　用間
016 第十六章　　誓師
017 第十七章　　督戰
018 第十八章　　看護
019 第十九章　　攄懷
020 第二十章　　訂婚
021 第二十一章　　敘戰
022 第二十二章　　館甥
023 第二十三章　　媚座
024 第二十四章　　審勢
025 第二十五章　　探梅
026 第二十六章　　和議
027 第二十七章　　彈哄
028 第二十八章　　禮成
029 第二十九章　　西歸
030 第三十章　　寓詞
