001 快心編傳奇二集 22684 第一回 　　李按察升官當重任　柳中軍殺賊顯英名
002 快心編傳奇二集 22685 第二回 　　願從徵兗州托主　施妙策峽谷燒兵
003 快心編傳奇二集 22686 第三回 　　舒素志笆壁言懷　應招賢華堂抵掌
004 快心編傳奇二集 22687 第四回 　　較武藝柳俊識根由　煉黃金道人弄幻術
005 快心編傳奇二集 22688 第五回 　　貪分外一炬破家　逞血氣千弓殞命
006 快心編傳奇二集 22689 第六回 　　丁嚴宿遷投賊軍　柳俊營中勘賴錄
007 快心編傳奇二集 22690 第七回 　　石將軍嶧縣成功　李巡撫宿遷中箭
008 快心編傳奇二集 22691 第八回 　　報恩寺柳子遺書　樂善村凌生害病
009 快心編傳奇二集 22692 第九回 　　奉勢利公子役幫閒　探因由花婆談豔質
010 快心編傳奇二集 22693 第十回 　　巧籠絡念動一函　惡商量心輸三利
