001 第一卷　　晉室將亡廊廟亂　宋家應運帝王興
002 第二卷　　劉寄奴滅寇立功　王孝伯稱兵受戮
003 第三卷　　楊佺期演武招婚　桓敬道興師拓境
004 第四卷　　京口鎮群雄聚義　建康城偽主潛逃
005 第五卷　　扶晉室四方悅服　代燕邦一舉蕩平
006 第六卷　　東寇乘虛危社稷　北師返國靖烽煙
007 第七卷　　除異己暗襲江陵　剪強宗再伐荊楚
008 第八卷　　任諸將西秦復失　行內禪南樂聿興
009 第九卷　　廢昏庸更扶明主　殺大將自壞長城
010 第十卷　　急圖位東官不子　緩行誅合殿弒親
011 第十一卷　　誅元凶武陵正位　聽逆謀南郡興兵
012 第十二卷　　子業凶狂遭弒逆　鄧琬好亂起干戈
013 第十三卷　　計身後忍除同氣　育螟蛉暗絕宗祧
014 第十四卷　　輔幼主道成懷逆　殉國難袁粲捐身
015 第十五卷　　沈攸之建義無成　蕭紀伯開基代宋
016 第十六卷　　縱敗禮宮闈淫亂　臣廢君宗室摧殘
017 第十七卷　　救義陽蕭衍建績　立寶卷六貴爭權
018 第十八卷　　行亂政外藩屢叛　據雄封眾士咸歸
019 第十九卷　　蕭雍州運籌決勝　齊寶卷喪國亡身
020 第二十卷　　寶寅潛逃投北魏　任城經略伐南梁
021 第二十一卷　　停洛口三軍瓦解　救種離一戰成功
022 第二十二卷　　築淮堰徒害民生　崇佛教頓忘國計
023 第二十三卷　　伐東魏淵明被執　納叛臣京闕遭殃
024 第二十四卷　　羊侃竭忠守建業　韋粲大戰死青塘
025 第二十五卷　　侯景背誓破台城　諸王斂兵歸舊鎮
026 第二十六卷　　除霸先始興舉義　王憎辯江夏立功
027 第二十七卷　　侯景分屍懲大惡　武陵爭帝失成都
028 第二十八卷　　魏連蕭詧取江陵　齊納淵明圖建業
029 第二十九卷　　慕狡童紅霞失節　掃餘寇興國稱尊
030 第三十卷　　廢伯宗安成篡位　擒王琳明徹立功
031 第三十一卷　　張麗華善承寵愛　陳後主恣意風流
032 第三十二卷　　陳氏荒淫棄天險　隋軍鼓勇下江南
