001 第一回　　論時弊遊山得夢　著新書寓言見志
002 第二回　　嘲時文先生辭館　取言貌世族聯姻
003 第三回　　勸戒煙因事納規　能悔過主文譎諫
004 第四回　　游大海杰士興悲　宿古廟將夫捍難
005 第五回　　占魁科金榜題名　慶生辰華堂開宴
006 第六回　　談時務布衣上書　貪賄賂文人無行
007 第七回　　翻前案錢可通神　授圖畫語多諷世
008 第八回　　建奇功英雄特達　興疑獄貞婦含冤
009 第九回　　汪夫人片言折獄　湯總督密折薦賢
010 第十回　　擒雙酋馬賊立功　除三害蠻夷率服
011 第十一回　　奮武衛大搜師旅　作威福強奪人妻
012 第十二回　　伸國法豺狼就戮　逢隱士猿鶴歸山
