047 歷史通俗演義-宋史 4705 第四十七回 　　拓邊防謀定制勝　竊后位喜極生悲
048 歷史通俗演義-宋史 4706 第四十八回 　　承兄祚初政清明　信閹言再用奸慝
049 歷史通俗演義-宋史 4707 第四十九回 　　端禮門立碑誣正士　河湟路遣將復西蕃
050 歷史通俗演義-宋史 4708 第五十回 　　應供奉朱勔承差　得奧援蔡京復相
051 歷史通俗演義-宋史 4709 第五十一回 　　巧排擠毒死輔臣　喜招徠載歸異族
052 歷史通俗演義-宋史 4710 第五十二回 　　信道教詭說遇天神　築離宮微行探春色
053 歷史通俗演義-宋史 4711 第五十三回 　　挾妓縱歡歌樓被澤　屈尊就宴相府承恩
054 歷史通俗演義-宋史 4712 第五十四回 　　造雄邦恃強稱帝　通遠使約金攻遼
055 歷史通俗演義-宋史 4713 第五十五回 　　幫源峒方臘揭竿　梁山泊宋江結寨
056 歷史通俗演義-宋史 4714 第五十六回 　　知海州收降及時雨　破杭城計出智多星
057 歷史通俗演義-宋史 4715 第五十七回 　　入深巖得擒叛首　征朔方再挫王師
058 歷史通俗演義-宋史 4716 第五十八回 　　誇功銘石艮嶽成山　覆國喪身孱遼絕祀
059 歷史通俗演義-宋史 4717 第五十九回 　　啟外釁胡人南下　定內禪上皇東奔
060 歷史通俗演義-宋史 4718 第六十回 　　遵敵約城下乞盟　滿惡貫途中授首
061 歷史通俗演義-宋史 4719 第六十一回 　　議和議戰朝局紛爭　誤國誤家京城失守
062 歷史通俗演義-宋史 4720 第六十二回 　　墮姦謀闔宮被劫　立異姓二帝蒙塵
063 歷史通俗演義-宋史 4721 第六十三回 　　承遺祚藩王登極　發逆案姦賊伏誅
064 歷史通俗演義-宋史 4722 第六十四回 　　宗留守力疾捐軀　信王榛敗亡失跡
065 歷史通俗演義-宋史 4723 第六十五回 　　招寇侮驚馳御駕　脅禪位激動義師
066 歷史通俗演義-宋史 4724 第六十六回 　　韓世忠力平首逆　金兀朮大舉南侵
067 歷史通俗演義-宋史 4725 第六十七回 　　巾幗英雄桴鼓助戰　鬚眉豪氣舞劍吟詞
068 歷史通俗演義-宋史 4726 第六十八回 　　趙立中礮失楚州　劉豫降虜稱齊帝
069 歷史通俗演義-宋史 4727 第六十九回 　　破劇盜將帥齊驅　敗強虜弟兄著績
070 歷史通俗演義-宋史 4728 第七十回 　　岳家軍克復襄漢　韓太尉保障江淮
071 歷史通俗演義-宋史 4729 第七十一回 　　入洞庭擒渠掃穴　返廬山奉櫬奔喪
072 歷史通俗演義-宋史 4730 第七十二回 　　髯將軍敗敵揚威　愚參謀監軍遇害
073 歷史通俗演義-宋史 4731 第七十三回 　　撤藩封偽主被縶　拒和議忠諫留名
074 歷史通俗演義-宋史 4732 第七十四回 　　劉錡力捍順昌城　岳飛奏捷朱仙鎮
075 歷史通俗演義-宋史 4733 第七十五回 　　傳偽詔連促班師　設毒謀構成冤獄
076 歷史通俗演義-宋史 4734 第七十六回 　　屈膝求和母后返駕　刺奸被執義士喪生
077 歷史通俗演義-宋史 4735 第七十七回 　　立趙宗親王嗣服　弒金帝逆賊肆淫
078 歷史通俗演義-宋史 4736 第七十八回 　　金主亮分道入寇　虞允文大破敵軍
079 歷史通俗演義-宋史 4737 第七十九回 　　誅暴主遼陽立新君　隳前功符離驚潰變
080 歷史通俗演義-宋史 4738 第八十回 　　廢守備奸臣通敵　申和約使節還朝
081 歷史通俗演義-宋史 4739 第八十一回 　　朱晦翁創立社倉法　宋孝宗重定內禪儀
082 歷史通俗演義-宋史 4740 第八十二回 　　攬內權辣手逞兇　勸過宮引裾極諫
083 歷史通俗演義-宋史 4741 第八十三回 　　趙汝愚定策立新皇　韓侂冑弄權逐良相
084 歷史通俗演義-宋史 4742 第八十四回 　　賀生辰尚書鑽狗竇　侍夜宴豔后媚龍顏
085 歷史通俗演義-宋史 4743 第八十五回 　　倡北伐喪師辱國　據西陲作亂亡家
086 歷史通俗演義-宋史 4744 第八十六回 　　史彌遠定計除奸　鐵木真稱尊耀武
087 歷史通俗演義-宋史 4745 第八十七回 　　失中都金丞相殉節　獲少女楊家堡成婚
088 歷史通俗演義-宋史 4746 第八十八回 　　寇南朝孱主誤軍謀　據東海降盜加節鉞
089 歷史通俗演義-宋史 4747 第八十九回 　　易嗣君濟邸蒙冤　逐制帥楚城屢亂
090 歷史通俗演義-宋史 4748 第九十回 　　誅逆首淮南紓患　戕外使蜀右被兵
091 歷史通俗演義-宋史 4749 第九十一回 　　約蒙古夾擊殘金　克蔡州獻俘太廟
092 歷史通俗演義-宋史 4750 第九十二回 　　圖中原兩軍敗退　寇南宋三路進兵
093 歷史通俗演義-宋史 4751 第九十三回 　　守蜀境累得賢才　劾史氏力扶名教
094 歷史通俗演義-宋史 4752 第九十四回 　　余制使憂讒殞命　董丞相被脅罷官
095 歷史通俗演義-宋史 4753 第九十五回 　　捏捷報欺君罔上　拘行人棄好背盟
096 歷史通俗演義-宋史 4754 第九十六回 　　史天澤討叛誅李璮　賈似道弄權居葛嶺
097 歷史通俗演義-宋史 4755 第九十七回 　　援孤城連喪二將　寵大憝貽誤十年
098 歷史通俗演義-宋史 4756 第九十九回 　　報怨興兵蹂躪江右　喪師辱國竄殛嶺南
099 歷史通俗演義-宋史 4757 第九十九回 　　屯焦山全軍告熸　陷臨安幼主被虜
100 歷史通俗演義-宋史 4758 第一○○回 　　擁二王勉支殘局　覆兩宮悵斷重洋
