001 蜜蜂計 18511 第一回 　　生親子計害前妻子　念結髮討燈送丈夫
002 蜜蜂計 18512 第二回 　　苗鳳英魂遊地府　驚夢兆拯救董生
003 蜜蜂計 18513 第三回 　　花亭被救收雙妻　鄧府投竅鞦韆下
004 蜜蜂計 18514 第四回 　　苗鳳英借屍還魂　董良才偶宿賊寺
005 蜜蜂計 18515 第五回 　　殺賊僧誤蹈陷阱　貪賄賂屈打成招
006 蜜蜂計 18516 第六回 　　七星山素梅為王　救董生猛虎衝散
007 蜜蜂計 18517 第七回 　　頂名赴考殿試狀元　進京獻寶識破行藏
008 蜜蜂計 18518 第八回 　　顛倒顛夫妻相認　害中害帶罪徵寇
009 蜜蜂計 18519 第九回 　　董良才帶罪徵寇　救春香怒殺知縣
010 蜜蜂計 18520 第十回 　　平凶僧夫妻團圓　秦總鎮自罹法網
