097 第九十七回　　討魏國武侯再上表　破曹兵姜維詐獻書
098 第九十八回　　追漢軍王雙受誅　襲陳倉武侯取勝
099 第九十九回　　諸葛亮大破魏兵　司馬懿入寇西蜀
100 第一○○回　　漢兵劫寨破曹真　武侯鬥陣辱仲達
101 第一○一回　　出隴上諸葛妝神　奔劍閣張郃中計
102 第一○二回　　司馬懿占北原渭橋　諸葛亮造木牛流馬
103 第一○三回　　上方谷司馬受困　五丈原諸葛禳星
104 第一○四回　　隕大星漢丞相歸天　見木像魏都督喪膽
105 第一○五回　　武侯預伏錦囊計　魏主拆取承露盤
106 第一○六回　　公孫淵兵敗死襄平　司馬懿詐病賺曹爽
107 第一○七回　　魏主政歸司馬氏　姜維兵敗牛頭山
108 第一○八回　　丁奉雪中奮短兵　孫峻席間施密計
109 第一○九回　　困司馬漢將奇謀　廢曹芳魏家果報
110 第一一○回　　文鴦單騎退雄兵　姜維背水破大敵
111 第一一一回　　鄧士載智敗姜伯約　諸葛誕義討司馬昭
112 第一一二回　　救壽春于詮死節　取長城伯約鏖兵
113 第一一三回　　丁奉定計斬孫綝　姜維鬥陣破鄧艾
114 第一一四回　　曹髦驅車死南闕　姜維棄糧勝魏兵
115 第一一五回　　詔班師後主信讒　託屯田姜維避禍
116 第一一六回　　鍾會分兵漢中道　武侯顯聖定軍山
117 第一一七回　　鄧士載偷度陰平　諸葛瞻戰死綿竹
118 第一一八回　　哭祖廟一王死孝　入西川二士爭功
119 第一一九回　　假投降巧計成虛話　再受禪依樣畫葫蘆
120 第一二○回　　薦杜預老將獻新謀　降孫皓三分歸一統
