001 唐鍾馗平鬼傳 9338 第一回 　　萬人縣群鬼賞月
002 唐鍾馗平鬼傳 9339 第二回 　　煙花巷色鬼請醫
003 唐鍾馗平鬼傳 9340 第三回 　　賈在行誤下絕命丹
004 唐鍾馗平鬼傳 9341 第四回 　　下作鬼巧設連環計
005 唐鍾馗平鬼傳 9342 第五回 　　唐鍾馗火燒不修觀
006 唐鍾馗平鬼傳 9343 第六回 　　短命鬼被擒子母山
007 唐鍾馗平鬼傳 9344 第七回 　　五里村酒店收窮鬼
008 唐鍾馗平鬼傳 9345 第八回 　　溜子陣戰敗遇窮神
009 唐鍾馗平鬼傳 9346 第九回 　　桃花山收服兩兄弟
010 唐鍾馗平鬼傳 9347 第十回 　　五里村斬燒一全家
011 唐鍾馗平鬼傳 9348 第十一回 　　奈河關下作鬼署印
012 唐鍾馗平鬼傳 9349 第十二回 　　弔角莊風流鬼攀親
013 唐鍾馗平鬼傳 9350 第十三回 　　冒失鬼酒裡逃生
014 唐鍾馗平鬼傳 9351 第十四回 　　粗魯鬼夢中喪命
015 唐鍾馗平鬼傳 9352 第十五回 　　耍乖山勾兵取救
016 唐鍾馗平鬼傳 9353 第十六回 　　森羅殿繳冊復命
