001 第一尊　　長眉羅漢
002 第二尊　　伏魔羅漢
003 第三尊　　聰耳羅漢
004 第四尊　　抱膝羅漢
005 第五尊　　勸善羅漢
006 第六尊　　捧經羅漢
007 第七尊　　降龍羅漢
008 第八尊　　緋衣羅漢
009 第九尊　　戲珠羅漢
010 第十尊　　飛錫羅漢
011 第十一尊　　杯渡羅漢
012 第十二尊　　振鐸羅漢
013 第十三尊　　施笠羅漢
014 第十四尊　　持履羅漢
015 第十五尊　　伏虎羅漢
016 第十六尊　　換骨羅漢
017 第十七尊　　浣腸羅漢
018 第十八尊　　現相羅漢
019 第十九尊　　跨象羅漢
020 第廿一尊　　拊背羅漢
021 第廿二尊　　焚佛羅漢
022 第廿三尊　　賦花羅漢
023 第廿四尊　　卻水羅漢
