001 第一回　　眾英才花下談心
002 第二回　　柳秀士舟中題句
003 第三回　　兩閨秀湖上遇才郎
004 第四回　　梅兵憲難途託嬌女
005 第五回　　棲雲菴步月訪佳人
006 第六回　　合歡亭入夢逢巫女
007 第七回　　假張良暗計圖連理
008 第八回　　慧文君識眼辨真才
009 第九回　　重結鴛鴦雙得意
010 第十回　　拆開梅雪兩分明
011 第十一回　　古寺還金逢妙麗
012 第十二回　　西湖玩月續春遊
013 第十三回　　連及第馳名翰院
014 第十四回　　為辭婚鐘禍邊庭
015 第十五回　　擲金錢喜卜歸期
016 第十六回　　點宮秀暗添離恨
017 第十七回　　雪蓮馨辭朝省母
018 第十八回　　柳友梅衣錦還鄉
