063 歷史通俗演義-南北史 4921 第六十三回 　　陳霸先舉兵討逆　王僧辯卻賊奏功
064 歷史通俗演義-南北史 4922 第六十四回 　　弒梁主大憝行兇　臠侯賊庶支承統
065 歷史通俗演義-南北史 4923 第六十五回 　　殺季弟特遣猛將軍　鴆故主兼及親生女
066 歷史通俗演義-南北史 4924 第六十六回 　　陷江陵並戕梁元帝　誅僧辯再立晉安王
067 歷史通俗演義-南北史 4925 第六十七回 　　擒敵將梁軍大捷　逞淫威齊主橫行
068 歷史通俗演義-南北史 4926 第六十八回 　　宇文護挾權肆逆　陳霸先盜國稱尊
069 歷史通俗演義-南北史 4927 第六十九回 　　討王琳屢次交兵　諫高洋連番受責
070 歷史通俗演義-南北史 4928 第七十回 　　戮勛戚皇叔篡位　溺懿親悍將逞謀
071 歷史通俗演義-南北史 4929 第七十一回 　　遇強暴故后被污　違忠諫逆臣致敗
072 歷史通俗演義-南北史 4930 第七十二回 　　遭主嫌侯安都受戮　卻敵軍段孝先建功
073 歷史通俗演義-南北史 4931 第七十三回 　　背德興兵周師再敗　攬權奪位陳主被遷
074 歷史通俗演義-南北史 4932 第七十四回 　　暱奸人淫后殺賢王　信刁媼昏君戮胞弟
075 歷史通俗演義-南北史 4933 第七十五回 　　斛律光遭讒受害　宇文護稔惡伏誅
076 歷史通俗演義-南北史 4934 第七十六回 　　選將才獨任吳明徹　含妒意特進馮小憐
077 歷史通俗演義-南北史 4935 第七十七回 　　韋孝寬獻議用兵　齊高緯挈妃避敵
078 歷史通俗演義-南北史 4936 第七十八回 　　陷晉州轉敗為勝　擒齊主取亂侮亡
079 歷史通俗演義-南北史 4937 第七十九回 　　老將失謀還師被虜　昏君嗣位慘戮沈冤
080 歷史通俗演義-南北史 4938 第八十回 　　宇文婦醉酒失身　尉遲公登城誓眾
081 歷史通俗演義-南北史 4939 第八十一回 　　失鄴城皇親自刎　篡周室勛戚代興
082 歷史通俗演義-南北史 4940 第八十二回 　　揮刀遇救逆弟敗謀　酣宴聯吟豔妃專寵
083 歷史通俗演義-南北史 4941 第八十三回 　　長孫晟獻謀制突厥　沙缽略稽首服隋朝
