000 本書說明
037 第三十七回　　李長齡廟中行刺　侯化泰戲耍高杰
038 第三十八回　　馬杰戲耍侯化泰　英雄偷探龍峒山
039 第三十九回　　追風猿七寶鎮遇險　白勝祖扮道人探賊
040 第四十回　　白勝祖假充神仙　小霸王連勝三陣
041 第四十一回　　鐵面僧橫掃天地會　神力將生擒小霸王
042 第四十二回　　張大虎探山逢凶　羅會總以德報德
043 第四十三回　　永善縣群雄遇險　墨金剛戲耍賊人
044 第四十四回　　高杰怒打鐵太歲　英雄奮勇鬥賊人
045 第四十五回　　馬成龍絕處逢生　百花僧古廟被獲
046 第四十六回　　群雄哨探水師營　豪傑計燒龍峒山
047 第四十七回　　勇先鋒搶船過江　王天寵出探石平
048 第四十八回　　小白龍又逢強中手　大英雄攻打石平州
049 第四十九回　　鐵掌道妖術惑人　馬成龍陣前被獲
050 第五十回　　巴德哩中途遇險　穆將軍計破妖人
051 第五十一回　　忠臣冒險入賊巢　義士束手探虎穴
052 第五十二回　　白勝祖智哄賊人　吳代光計試神仙
053 第五十三回　　白將軍難中呈祥　陳君榮仗義救人
054 第五十四回　　玉昆假充南極子　忠良一劍定石平
055 第五十五回　　群雄大戰青鳳山　吳恩觀山遇猛虎
056 第五十六回　　胡總兵攻山折兵　汪提調設謀困賊
057 第五十七回　　義士涉險探賊巢　秦遠捉拿侯化泰
058 第五十八回　　姜鴻泄機祁河寺　王勇憤怒鬥賊人
059 第五十九回　　吳恩渡江逢知己　群雄無意遇賊人
060 第六十回　　眾豪傑夜探鄧家莊　六英雄遇險身被獲
061 第六十一回　　鄧芸娘釋放英雄　白勝祖智捉賊人
062 第六十二回　　鎮八方夜探鄧家莊　賽諸葛狹路刺群雄
063 第六十三回　　回教正二擒吳恩　隱善村群雄借宿
064 第六十四回　　於占鼇宴會群雄　白勝祖遇難呈祥
065 第六十五回　　眾英雄同宿隱善莊　下江口豪傑中奸計
066 第六十六回　　空空觀群雄逢隱士　雙寶鎮豪傑探賊人
067 第六十七回　　雙寶鎮巧遇奸細　下江口又逢巨寇
068 第六十八回　　白勝祖大義罵賊　曹文遠忠言勸友
069 第六十九回　　顧煥章誤入于家務　譚逢春巧得美多姣
070 第七十回　　倭侯爺夜探賊巢　玉昆奉令救群雄
071 第七十一回　　顧煥章巧計救賓朋　浪裡鑽聚兵戰江口
072 第七十二回　　豪傑回營定巧計　義士奮勇盜寶刀
073 第七十三回　　飛天大聖復探山　勸善會總施毒計
074 第七十四回　　伊哩布回兵獨龍口　巴德哩避雨夏家莊
075 第七十五回　　夏海龍識破機關　巴德哩二人遇害
076 第七十六回　　梅素英誘姦英雄　巴德哩巧遇俠義
077 第七十七回　　玉面郎又逢美多姣　百花娘巧語哄夫主
078 第七十八回　　張玉峰夜探夏家莊　鄧芸娘捉拿英雄漢
079 第七十九回　　伊欽差派兵剿邪教　夏海龍舉戟戰官兵
080 第八十回　　張玉峰奮勇鬥賊　韓智遠妖術得勝
081 第八十一回　　張玉峰逢凶化吉　鄧芸娘遇難呈祥
082 第八十二回　　李天保進兵獨龍口　張廣太退守藤蘿營
083 第八十三回　　伊欽差復奪獨龍口　張廣太奉旨發軍台
084 第八十四回　　穆將軍大戰寶珠山　馬成龍捨命捉妖道
085 第八十五回　　穆帥督兵戰妖道　虎將舍死鬥賊人
086 第八十六回　　謝祿奮勇刺妖道　韓虎涉險盜葫蘆
087 第八十七回　　英雄冒險訪隱士　玉昆半路搶囚車
088 第八十八回　　冷岩觀隱士論天時　寶珠山真人捉妖道
089 第八十九回　　趙玄真連勝賊將　馬成龍奮勇劫營
090 第九十回　　李法通妖術驚人　巴德哩失機被獲
091 第九十一回　　穆將軍定計破敵　李法通失機敗陣
092 第九十二回　　趙玄真二次出山　李法通失機被獲
093 第九十三回　　破邪術驚走張宏雷　穆將軍兵搶定源山
094 第九十四回　　李法通誤入鬆蔭觀　張玉峰巧拿惡妖人
095 第九十五回　　穆將軍進兵竹子山　白練祖截江戰官兵
096 第九十六回　　迷魂旗妖術勝眾　忠勇將失機被擒
097 第九十七回　　虯首龍捨命鬥賊　白勝祖智勝賊人
098 第九十八回　　張二虎進兵竹子山　混水猿勸說張會總
099 第九十九回　　水師營群雄定計　絕恩洞捉拿吳恩
100 第一百回　　捉妖人忠臣奏凱　滅邪教永慶升平
