000 本書說明
095 第九十五回　　出廟外四人平試藝　到山上北俠昆奇才
096 第九十六回　　熊威受恩不忘舊　施俊絕處又逢生
097 第九十七回　　鑽天鼠恰逢開山豹　黑妖狐巧遇花面狼
098 第九十八回　　二賊見面嘴甜心　苦大眾受騙信假為真
099 第九十九回　　豹花嶺胡列救主　分贓庭二寇被擒
100 第一○○回　　智化放火燒大寨　嘍兵得命上君山
101 第一○一回　　龍姚追朋玉貪功受險　智化遇魏真奮勇傷刀
102 第一○二回　　北俠請老道破網　韓良泄大人機關
103 第一○三回　　力舉雙獸世間少有　為搶一驢遭打人多
104 第一○四回　　翻江鼠奮勇拿喜鸞　白面判努力追喜鳳
105 第一○五回　　魯員外被傷嘔血　范天保棄家逃生
106 第一○六回　　娃娃谷柳青尋師母　婆婆店蔣平遇胡七
107 第一○七回　　蔣澤長誤入黑水湖　白面判被捉蟠蛇嶺
108 第一○八回　　蟠蛇嶺要煮柳員外　柴貨廠捉拿李有能
109 第一○九回　　地方尋找莊致和　店中初會胡從善
110 第一一○回　　定計妝扮米麵客　故意假作大山王
111 第一一一回　　柳青倒取蟠蛇嶺　蔣平大戰黑水湖
112 第一一二回　　鬧湖蛟報兄仇廢命　小諸葛為己事伸冤
113 第一一三回　　眾嘍兵撥雲見日　分水獸棄暗投明
114 第一一四回　　蔣澤長水灌沈中元　眾鄉紳奉請顏按院
115 第一一五回　　雙錘將欺壓良善　溫員外懼怕凶徒
116 第一一六回　　朱文朱德逢惡霸　有俠有義救姑娘
117 第一一七回　　甘蘭娘改扮溫小姐　眾英雄假作送親人
118 第一一八回　　合歡樓叔嫂被殺　郭家營宗德廢命
119 第一一九回　　臥牛山小英雄聚會　上院衙沙員外獻圖
120 第一二○回　　看圖樣群雄明地勢　曉機關眾位抖威風
121 第一二一回　　臥牛山下巧逢故友　藥王廟前忽遇狂徒
122 第一二二回　　小義士起身高固始　舊賓朋聚首上襄陽
123 第一二三回　　小義士偷聽破銅網　黑妖狐暗算盜盟單
124 第一二四回　　眾豪傑墜落銅網陣　黑妖狐涉險沖霄樓
