096 第九十六回　　幻魔君術窘五龍山　入雲龍頭圍百谷嶺
097 第九十七回　　陳瓘諫官陞安撫　瓊英處女做先鋒
098 第九十八回　　張清緣配瓊英　吳用計鴆鄔梨
099 第九十九回　　花和尚解脫緣纏井　混江龍水灌太原城
100 第一百回　　張清瓊英雙建功　陳瓘宋江同奏捷
101 第一百一回　　謀墳地陰險產逆　蹈春陽妖艷生奸
102 第一百二回　　王慶因姦喫官司　龔端被打師軍犯
103 第一百三回　　張管營因妾弟喪身　范節級為表兄醫臉
104 第一百四回　　段家莊重招新女婿　房山寨雙併舊強人
105 第一百五回　　宋公明避暑療軍兵　喬道清回風燒賊寇
106 第一百六回　　書生談笑卻強敵　水軍汨沒破堅城
107 第一百七回　　宋江大勝紀山軍　朱武打破六花陣
108 第一百八回　　喬道清興霧取城　小旋風藏炮擊賊
109 第一百九回　　王慶渡江被捉　宋江剿寇成功
110 第一百十回　　燕青秋林渡射雁　宋江東京城獻俘
111 第一百十一回　　張順夜伏金山寺　宋江智取潤州城
112 第一百十二回　　盧俊義分兵宣州道　宋公明大戰毘陵郡
113 第一百十三回　　混江龍太湖小結義　宋公明蘇州大會垓
114 第一百十四回　　寧海軍宋江弔孝　涌金門張順歸神
115 第一百十五回　　張順魂捉方天定　宋江智取寧海軍
116 第一百十六回　　盧俊義分兵歙州道　宋公明大戰烏龍嶺
117 第一百十七回　　睦州城箭射鄧元覺　烏龍嶺神助宋公明
118 第一百十八回　　盧俊義大戰昱嶺關　宋公明智取清溪洞
119 第一百十九回　　魯智深浙江坐化　宋公明衣錦還鄉
120 第一百二十回　　宋公明神聚蓼兒洼　徽宗帝夢游梁山泊
