001 第一回　　省鳳城俠憐鴛侶苦
002 第二回　　探虎穴巧取蚌珠還
003 第三回　　水小姐俏膽移花
004 第四回　　過公子癡心捉月
005 第五回　　激義氣鬧公堂救禍得禍
006 第六回　　冒嫌疑移下榻知恩報恩
007 第七回　　五夜無欺敢留髡以飲
008 第八回　　一言有觸不俟駕而行
009 第九回　　虛捏鬼哄佳人徒使佳人噴飯
010 第十回　　假認真參按院反令按院吃驚
011 第十一回　　熱心腸放不下千里赴難
012 第十二回　　冷面孔翻得轉一席成讎
013 第十三回　　出惡言拒聘實增奸險
014 第十四回　　捨死命救人為識英雄
015 第十五回　　父母命苦叮嚀焉敢過辭
016 第十六回　　美人局歪廝纏實難領教
017 第十七回　　察出隱情方表人情真義俠
018 第十八回　　驗明完璧始成名教終好逑
