001 斯文變相 11804 第一回 　　冷碧虛題詞憤時俗　唐金鑒診病引經書
002 斯文變相 11805 第二回 　　道義交挑丹充馬寶　裕豐莊拆色掉龍洋
003 斯文變相 11806 第三回 　　講陰陽怕逢彭抹布　談理學轉薦魏書箱
004 斯文變相 11807 第四回 　　蠢秀才浴所論文章　呆知縣屍場看性理
005 斯文變相 11808 第五回 　　老書生換名應鄉試　大管帶戴鏡打洋槍
006 斯文變相 11809 第六回 　　勒書價硬用蘆柴戥　混煙痛苦騙膏火錢
007 斯文變相 11810 第七回 　　李少爺執帖見倌人　牛魔王敲門罵山長
008 斯文變相 11811 第八回 　　巡齋舍魂消諸葛燈　哭書墳淚盡天妃廟
009 斯文變相 11812 第九回 　　講聖論牽涉閻羅王　賦情詩推托西王母
010 斯文變相 11813 第十回 　　激義憤痛上萬言書　數恩仇冤沉一字獄
