050 第五十回　　廢故主迎立廣陵王　煽眾兵聲討爾朱氏
051 第五十一回　　戰韓陵破滅子弟軍　入洛宮淫烝大小后
052 第五十二回　　梁太子因懮去世　賀拔岳被賺喪身
053 第五十三回　　違君命晉陽興甲　謁行在關右迎鑾
054 第五十四回　　飲宮中魏主遭鴆毒　陷澤畔竇泰死戰場
055 第五十五回　　用少擊眾沙苑交兵　廢舊迎新柔然納女
056 第五十六回　　戰邙山宇文泰敗溃　幸佛寺梁主衍捨身
057 第五十七回　　責賀琛梁廷草敕　防侯景高氏留言
058 第五十八回　　悍高澄毆禁東魏主　智慕容計擒蕭淵明
059 第五十九回　　縱叛賊朱異誤國　卻強寇羊侃守城
060 第六十回　　援建康韋粲捐軀　陷台城梁武用計
061 第六十一回　　困梁宮君王餓死　攻湘州叔姪尋仇
062 第六十二回　　取公主侯景脅君　篡帝祚高洋竊國
063 第六十三回　　陳霸先舉兵討逆　王僧辯卻賊奏功
064 第六十四回　　弒梁主大憝行兇　臠侯賊庶支承統
065 第六十五回　　殺季弟特遣猛將軍　鴆故主兼及親生女
066 第六十六回　　陷江陵並戕梁元帝　誅僧辯再立晉安王
067 第六十七回　　擒敵將梁軍大捷　逞淫威齊主橫行
068 第六十八回　　宇文護挾權肆逆　陳霸先盜國稱尊
069 第六十九回　　討王琳屢次交兵　諫高洋連番受責
070 第七十回　　戮勛戚皇叔篡位　溺懿親悍將逞謀
071 第七十一回　　遇強暴故后被污　違忠諫逆臣致敗
072 第七十二回　　遭主嫌侯安都受戮　卻敵軍段孝先建功
073 第七十三回　　背德興兵周師再敗　攬權奪位陳主被遷
074 第七十四回　　暱奸人淫后殺賢王　信刁媼昏君戮胞弟
075 第七十五回　　斛律光遭讒受害　宇文護稔惡伏誅
076 第七十六回　　選將才獨任吳明徹　含妒意特進馮小憐
077 第七十七回　　韋孝寬獻議用兵　齊高緯挈妃避敵
078 第七十八回　　陷晉州轉敗為勝　擒齊主取亂侮亡
079 第七十九回　　老將失謀還師被虜　昏君嗣位慘戮沈冤
080 第八十回　　宇文婦醉酒失身　尉遲公登城誓眾
081 第八十一回　　失鄴城皇親自刎　篡周室勛戚代興
082 第八十二回　　揮刀遇救逆弟敗謀　酣宴聯吟豔妃專寵
083 第八十三回　　長孫晟獻謀制突厥　沙缽略稽首服隋朝
084 第八十四回　　設行省遣子督師　避敵兵攜妃投井
085 第八十五回　　據湘州陳宗殉國　撫嶺表冼氏平蠻
086 第八十六回　　反罪為功築宮邀賞　寓剿於撫徙虜實邊
087 第八十七回　　恨妒后御駕入山鄉　謀奪嫡計臣賂朝貴
088 第八十八回　　太子勇遭讒被廢　庶人秀幽錮蒙冤
089 第八十九回　　侍病父密謀行逆　烝庶母強結同心
090 第九十回　　攻並州分遣兵戎　幸洛陽大興土木
091 第九十一回　　促蛾眉宣華歸地府　駕龍舟煬帝赴江都
092 第九十二回　　巡塞北厚撫啟民汗　幸河西窮討吐谷渾
093 第九十三回　　端門街陳戲示番夷　觀瀾亭獻詩逢鬼魅
094 第九十四回　　征高麗勞兵動眾　溃薩水折將喪師
095 第九十五回　　楊玄感兵敗死窮途　斛斯政拘回遭慘戮
096 第九十六回　　犯乘輿圍攻紫寨　造迷樓望斷紅顏
097 第九十七回　　御苑賞花巧演古劇　隋堤種柳快意南游
098 第九十八回　　麻叔謀罪發受金刀　李玄邃謀成建帥府
099 第九十九回　　迫起兵李氏入關中　囑獻書矮奴死闕下
100 第一○○回　　弒昏君隋家數盡　鴆少主楊氏凶終
