099 第九十九回　　定奸罪包公上本　溺龐妃宋王生嗔
100 第一○○回　　狄太后掃除君側　龐貴妃絞死宮中
101 第一○一回　　正典刑奸臣被誅　憶妃子宋主傷情
102 第一○二回　　遵國法龐孫回籍　敘奸苗作惡多端
103 第一○三回　　蕭天鳳領守三關　張將軍洞房花燭
104 第一○四回　　蘇都督入贅納英雄　安樂王奉宣朝太后
105 第一○五回　　遵宣詔公主到中原　大敘會狄府排筵宴
106 第一○六回　　平西府骨肉談心　狄王爺達呈貢禮
107 第一○七回　　八寶女朝參天子　李太后主結姻緣
108 第一○八回　　平西王請旨榮歸　佘太君宴邀狄眷
109 第一○九回　　狄太后姑嫂還鄉　安樂王閒中作斷
110 第一一○回　　修狄墳張文料理　送榮歸兄弟同心
111 第一一一回　　到家鄉狄爺拜探　復聖旨包拯回朝
112 第一一二回　　完祭祖太后回駕　大團圓五將榮歸
