001 春柳鶯 17035 第一回 　　棄浮名館求佳麗　游玄墓詩種錯緣
002 春柳鶯 17036 第二回 　　見利巧施美女計　背人假借梅花詩
003 春柳鶯 17037 第三回 　　畢小姐絲桐露調　石秀才玉簫斷腸
004 春柳鶯 17038 第四回 　　辭玻璃潦倒歸僧舍　冒風雨蕭條見故人
005 春柳鶯 17039 第五回 　　先生羞認梅花扇　翰林淚讀楊柳詞
006 春柳鶯 17040 第六回 　　秋風天解元乞食　明月夜才鬼做官
007 春柳鶯 17041 第七回 　　畢臨鶯巧作風流婿　梅凌春誓結姊妹親
008 春柳鶯 17042 第八回 　　暫脫騙希圖大利　難瞞藏直訴真情
009 春柳鶯 17043 第九回 　　傷情誤怪新知己　分憂喜見舊花婆
010 春柳鶯 17044 第十回 　　悔初心群英宴貴　敘舊懷雙鳳盤龍
