001 熙朝快史 16685 第一回 　　論時弊遊山得夢　著新書寓言見志
002 熙朝快史 16686 第二回 　　嘲時文先生辭館　取言貌世族聯姻
003 熙朝快史 16687 第三回 　　勸戒煙因事納規　能悔過主文譎諫
004 熙朝快史 16688 第四回 　　游大海杰士興悲　宿古廟將夫捍難
005 熙朝快史 16689 第五回 　　占魁科金榜題名　慶生辰華堂開宴
006 熙朝快史 16690 第六回 　　談時務布衣上書　貪賄賂文人無行
007 熙朝快史 16691 第七回 　　翻前案錢可通神　授圖畫語多諷世
008 熙朝快史 16692 第八回 　　建奇功英雄特達　興疑獄貞婦含冤
009 熙朝快史 16693 第九回 　　汪夫人片言折獄　湯總督密折薦賢
010 熙朝快史 16694 第十回 　　擒雙酋馬賊立功　除三害蠻夷率服
011 熙朝快史 16695 第十一回 　　奮武衛大搜師旅　作威福強奪人妻
012 熙朝快史 16696 第十二回 　　伸國法豺狼就戮　逢隱士猿鶴歸山
