072 歇浦潮 23739 第七十二回 　　守財奴閉門訂家法　失貞婦背裡覓生涯
073 歇浦潮 23740 第七十三回 　　鹹肉莊官僚托足　鮮果鋪學士埋頭
074 歇浦潮 23741 第七十四回 　　染毒瘡小償風流債　播丑聲大貽名教羞
075 歇浦潮 23742 第七十五回 　　惹禍遭殃怪態百出　增榮益譽異想天開
076 歇浦潮 23743 第七十六回 　　取道尹棋輸一著　復帝制語妙雙關
077 歇浦潮 23744 第七十七回 　　感前塵暗吞一掬淚　掀醋罐枉吃五分頭
078 歇浦潮 23745 第七十八回 　　孽海猛回清綺障　春江小住掃情魔
079 歇浦潮 23746 第七十九回 　　販私土詭跡張黑幕　充完璧妙術泛紅潮
080 歇浦潮 23747 第八十回 　　遠慮深謀雄心掃地　拈花惹草色膽包天
081 歇浦潮 23748 第八十一回 　　辣手段游子還鄉　硬心腸蕭郎陌路
082 歇浦潮 23749 第八十二回 　　誇舊游當筵論因果　結新知背地設機關
083 歇浦潮 23750 第八十三回 　　計出萬全迷龍有陣　功虧一簣縛虎何人
084 歇浦潮 23751 第八十四回 　　燕子窠下場憐賤妓　虎狼窟歷劫歎貧娃
085 歇浦潮 23752 第八十五回 　　強中強乖人受騙　冤裡冤小婢遭殃
086 歇浦潮 23753 第八十六回 　　一封信險破財奴膽　八百金頓迷窮漢心
087 歇浦潮 23754 第八十七回 　　傳機密屬垣有耳　避偵探伺隙何人
088 歇浦潮 23755 第八十八回 　　甘言易入弱女移家　孽報難逃惡奴結局
089 歇浦潮 23756 第八十九回 　　藏頭露尾莫測妖狐　俠骨冰心決除害馬
090 歇浦潮 23757 第九十回 　　設陷阱疑雲障雨　泄命案遠走高飛
091 歇浦潮 23758 第九十一回 　　作惡人難逃法網　可憐女大受折磨
092 歇浦潮 23759 第九十二回 　　上公堂奶奶求救　抄小路太太遭疑
093 歇浦潮 23760 第九十三回 　　中難言懦夫泄憤　下堂求去蕩婦無情
094 歇浦潮 23761 第九十四回 　　收覆水負荊登門　避後患運籌帷幄
095 歇浦潮 23762 第九十五回 　　天理循環請君入甕　人心叵測縱虎歸山
096 歇浦潮 23763 第九十六回 　　玉鏡台前遭白眼　流蘇帳底進紅丸
097 歇浦潮 23764 第九十七回 　　禍生肘腋醋海興波　病入膏肓情場結局
098 歇浦潮 23765 第九十八回 　　請名醫何期滑腳　酬月老不惜纏頭
099 歇浦潮 23766 第九十九回 　　匿私贐虔婆工謀　啖餘桃優伶中計
100 歇浦潮 23767 第一百回 　　變起家庭證惡果　潮翻歇浦結新書
