001 瓜分慘禍預言記 17518 第一回 　　痛時艱遠遊異國　逢石隱竊錄奇書
002 瓜分慘禍預言記 17519 第二回 　　傳警報災禍有先聲　發誓詞師生同患難
003 瓜分慘禍預言記 17520 第三回 　　惡官吏喪心禁演說　賢縉紳仗義助資財
004 瓜分慘禍預言記 17521 第四回 　　裂中華天愁地慘　遭劫運山赭川紅
005 瓜分慘禍預言記 17522 第五回 　　志士聯盟歸故國　官兵助外捕義民
006 瓜分慘禍預言記 17523 第六回 　　策義兵佳人握勝算　建自治海國豎新旗
007 瓜分慘禍預言記 17524 第七回 　　復故仇血肉紛飛　請救兵英雄自殺
008 瓜分慘禍預言記 17525 第八回 　　亂黨投誠功成有日　大兵壓境戰勝無形
009 瓜分慘禍預言記 17526 第九回 　　遣使分巡問疾苦　吞聲暗泣死幽囚
010 瓜分慘禍預言記 17527 第十回 　　預言書苦制醒魂散　賠淚錄歸結愛國談
