080 劉公案－劉墉傳奇 10312 第八十回 　　富興當訛詐打知府
081 劉公案－劉墉傳奇 10313 第八十一回 　　查賑糧欽差反受刑
082 劉公案－劉墉傳奇 10314 第八十二回 　　楊財主忍痛出罰款
083 劉公案－劉墉傳奇 10315 第八十三回 　　劉清官御封大學士
084 劉公案－劉墉傳奇 10316 第八十四回 　　惡衙役奸殺三婦人
085 劉公案－劉墉傳奇 10317 第八十五回 　　閱案卷劉墉生疑忌
086 劉公案－劉墉傳奇 10318 第八十六回 　　錢知縣貪贓起殺心
087 劉公案－劉墉傳奇 10319 第八十七回 　　滅口供只為一萬銀
088 劉公案－劉墉傳奇 10320 第八十八回 　　劉欽差夜驚黑虎夢
089 劉公案－劉墉傳奇 10321 第八十九回 　　黑心腸贓官陷武舉
090 劉公案－劉墉傳奇 10322 第九十回 　　遇恩公馮吉談匪情
091 劉公案－劉墉傳奇 10323 第九十一回 　　行淫亂和尚嫖妓女
092 劉公案－劉墉傳奇 10324 第九十二回 　　振寺規夜襲淫穢廟
093 劉公案－劉墉傳奇 10325 第九十三回 　　三承差勇戰蕭飛賊
094 劉公案－劉墉傳奇 10326 第九十四回 　　半邊俏落網受剮刑
095 劉公案－劉墉傳奇 10327 第九十五回 　　熊公子鍾情窈窕女
096 劉公案－劉墉傳奇 10328 第九十六回 　　仗權勢買盜攀窩主
097 劉公案－劉墉傳奇 10329 第九十七回 　　救義兄克展聚同盟
098 劉公案－劉墉傳奇 10330 第九十八回 　　殺贓官馬快報仇冤
099 劉公案－劉墉傳奇 10331 第九十九回 　　大劫牢血洗大名府
100 劉公案－劉墉傳奇 10332 第一百回 　　為逃命黑夜奪城門
101 劉公案－劉墉傳奇 10333 第一百一回 　　遇好漢柳林暫避禍
102 劉公案－劉墉傳奇 10334 第一百二回 　　空槍計虛驚大名城
103 劉公案－劉墉傳奇 10335 第一百三回 　　劉奉總督大調兵
104 劉公案－劉墉傳奇 10336 第一百四回 　　逢潑皮馬快反遭捕
105 劉公案－劉墉傳奇 10337 第一百五回 　　憤難平克展反公堂
106 劉公案－劉墉傳奇 10338 第一百六回 　　武藝強單人戰官軍
107 劉公案－劉墉傳奇 10339 第一百七回 　　陳大勇力擒劫獄人
