001 錦香亭 15163 第一回 　　鍾景期三場飛兔穎
002 錦香亭 15164 第二回 　　葛明霞一笑締鸞盟
003 錦香亭 15165 第三回 　　瓊林宴遍覓狀元郎
004 錦香亭 15166 第四回 　　金馬門群嘩節度使
005 錦香亭 15167 第五回 　　忤當朝謫官赴蜀
006 錦香亭 15168 第六回 　　逢義士贈妾窮途
007 錦香亭 15169 第七回 　　祿山兒范陽造反
008 錦香亭 15170 第八回 　　碧秋女雄武同逃
009 錦香亭 15171 第九回 　　嘯虎道給引贈金
010 錦香亭 15172 第十回 　　睢陽城烹童殺妾
011 錦香亭 15173 第十一回 　　雷海清擲箏罵賊
012 錦香亭 15174 第十二回 　　虢夫人揮麈談禪
013 錦香亭 15175 第十三回 　　葛太古入川迎聖駕
014 錦香亭 15176 第十四回 　　郭汾陽建院蓄歌姬
015 錦香亭 15177 第十五回 　　司禮監奉旨送親
016 錦香亭 15178 第十六回 　　平北公承恩完配
