001 第一回　　花二娘巧智認情郎
002 第二回　　吳千里兩世諧佳麗
003 第三回　　李月仙割愛救親夫
004 第四回　　香菜根喬裝奸命婦
005 第五回　　日宜園九月牡丹開
006 第六回　　伴花樓一時癡笑耍
007 第七回　　陳之美巧計騙多嬌
008 第八回　　鐵念三激怒誅淫婦
009 第九回　　乖二官騙落美人局
010 第十回　　許玄之賺出重囚牢
011 第十一回　　蔡玉奴避雨撞淫僧
012 第十二回　　汪監生貪財娶寡婦
013 第十三回　　兩房妻暗中雙錯認
014 第十四回　　一宵緣約赴兩情人
015 第十五回　　馬玉貞汲水遇情郎
016 第十六回　　費人龍避難逢豪惡
017 第十七回　　孔良宗負義薄東翁
018 第十八回　　王有道疑心棄妻子
019 第十九回　　木知日真托妻寄子
020 第二十回　　楊玉京假恤孤憐寡
021 第二十一回　　朱公子貪淫中毒計
022 第二十二回　　黃煥之慕色受官刑
023 第二十三回　　夢花生媚引鳳鸞交
024 第二十四回　　一枝梅空設鴛鴦計
