001 第一回　　破岑寂夫人吟舊句　起風潮女士閱新聞
002 第二回　　哀同志夢遇熱心人　伸公論手編女士傳
003 第三回　　富太守詭計聯新黨　秋監督熱心施教育
004 第四回　　圍困學堂標統逞勇　強姦民婦兵士施威
005 第五回　　諸標統縱兵大搜掠　富太守信口說雌黃
006 第六回　　問口供太守驚暴病　定案情女士勉書秋
007 第七回　　談異事紳衿譏褚鉤　說前因女士諫夫君
008 第八回　　將差就錯頑宦休妻　兔死狐悲囚牢贈鈔
009 第九回　　自由女陶然初惜別　失父兒外舍暫相依
010 第十回　　熱心求學獨走重洋　豪氣驚人雙跑電木
011 第十一回　　耳熱慷慨悲歌　披忱慇懃勸告
012 第十二回　　安民一時掩耳　勒石千載留名
