065 野叟曝言 23337 第六十五回 　　誅夜叉六熊戴德　救作忠六義同仇
066 野叟曝言 23338 第六十六回 　　神算定假倭功歸把總　正氣除邪會名托城隍
067 野叟曝言 23339 第六十七回 　　碎石台冤魂出世　看雪屏偉物招殃
068 野叟曝言 23340 第六十八回 　　十六妾奉先生烏龜臉面　三百鞭貞婦強盜心肝
069 野叟曝言 23341 第六十九回 　　男道學遍看花蕊　女狀元獨佔鼇頭
070 野叟曝言 23342 第七十回 　　白晝壓妖狐忽呈玉面　深宵論活寶盡洗塵心
071 野叟曝言 23343 第七十一回 　　看壁詞癡人入化　談天性俠女驚心
072 野叟曝言 23344 第七十二回 　　以血驗氣大闡陰陽之化　因熊及虎廣推禽獸之恩
073 野叟曝言 23345 第七十三回 　　論一氣雲開日朗　呈百戲石破天驚
074 野叟曝言 23346 第七十四回 　　所求乎朋友相看儼然　重之以婚姻一言既出
075 野叟曝言 23347 第七十五回 　　盤錦囊忽見廬山面目　定樂府拓開平日心胸
076 野叟曝言 23348 第七十六回 　　醉中合巹潦草婚姻　夢裡斷繩逼真緣法
077 野叟曝言 23349 第七十七回 　　有肉無骨剖明千古奇冤　移妾作女解脫寸心堅結
078 野叟曝言 23350 第七十八回 　　主代帝殂代崩暗尊昭烈　前比尹後比旦明頌武侯
079 野叟曝言 23351 第七十九回 　　為驅邪眾女袒胸求赤字　因報德孤舟渡海覓紅須
080 野叟曝言 23352 第八十回 　　婚事初籌素臣早籌兵事　大蛇未弄鐵丐先弄小蛇
081 野叟曝言 23353 第八十一回 　　文曲布天羅血流四境　紅鸞殺華蓋月照雙郎
082 野叟曝言 23354 第八十二回 　　斷鐵雙關密計　開銅鎖方便陰功
083 野叟曝言 23355 第八十三回 　　憐才拔亞魯賜婚者二十人　定計滅屠龍成功在五六日
084 野叟曝言 23356 第八十四回 　　香烈扶危夢得兩顆珠子　瑛瑤成配天生一對玉人
085 野叟曝言 23357 第八十五回 　　宵光顯玉體知造物之化工　神便浸金鈴得除奸之秘鑰
086 野叟曝言 23358 第八十六回 　　負腹無謀空擬罡風攪海　拍肩有讖果然明鏡中天
087 野叟曝言 23359 第八十七回 　　五日抱兩王子醫法通神　一旬產四男兒麟祥曠世
088 野叟曝言 23360 第八十八回 　　醫怪病青面消磨　受奇榮白衣發達
089 野叟曝言 23361 第八十九回 　　國師束身雙闕佛法無靈　指揮傳首九邊皇威有赫
090 野叟曝言 23362 第九十回 　　兩柄銅錘舞出山林嬌鳳　一顆珠子穿來苗峒毒蛇
091 野叟曝言 23363 第九十一回 　　苗婆聞水安息回生老命　妖道見夜光珠錯認元神
092 野叟曝言 23364 第九十二回 　　扮醫生有心除毒　救病漢無意逢親
093 野叟曝言 23365 第九十三回 　　療奇瘋藥婆認叔　顯絕力鎖住疑神
094 野叟曝言 23366 第九十四 　　回治香以臭別開土老之奇　語婚配宜歌新詠關雎之好逑
095 野叟曝言 23367 第九十五回 　　沈瞻贖子孔方兄能全骨肉　陳淵夢妻正氣女便是神靈
096 野叟曝言 23368 第九十六回 　　天闕山神猿饒舌　孔雀峒石女發身
097 野叟曝言 23369 第九十七回 　　一掌破天荒死戶翻成生戶　兩眉鑽進穴毒蛇變作癡蛇
098 野叟曝言 23370 第九十八回 　　神虎神猿種出太平珠玉　奇芝奇鹿銜來百歲春秋
099 野叟曝言 23371 第九十九回 　　屈知縣以直報怨　楚郡主因公濟私
100 野叟曝言 23372 第一百回 　　奸徒出首害忠臣　義士同心結死友
101 野叟曝言 23373 第一百零一回 　　上林堡小設計　臨桂縣大交兵
102 野叟曝言 23374 第一百零二回 　　四伏降六龍素臣神算　三胞生六宿石女奇胎
