000 本書說明
085 第八十五回　　伍子胥抉目待齊　吳魯吳艾陵大戰
086 第八十六回　　孔子獲麟作《春秋》　晉三卿政亂同列
087 第八十七回　　勾踐三年滅吳國　范蠡扁舟歸五湖
088 第八十八回　　晉智伯求地謀反　灌晉陽智信決水
089 第八十九回　　豫讓漆身刺無恤　吳起殺妻為求將
090 第九十回　　周王初封韓趙魏　趙魏爭奪中山地
091 第九十一回　　吳起棄魏死於楚　齊威王正國朝周
092 第九十二回　　魏征龐涓下雲夢　公孫鞅徙木立信
093 第九十三回　　齊田忌大敗投趙　王敖破牌薦孫臏
094 第九十四回　　孫臏下山服袁達　龐涓謀刖地孫臏足
095 第九十五回　　孫臏被刖詐瘋魔　茶車竅孫臏歸齊
096 第九十六回　　龐涓巫魅陷孫臏　孫臏救韓擄魏申
097 第九十七回　　孫龐排陣賭劉魏　馬陵萬弩射龐涓
098 第九十八回　　醜女獻策為皇后　衛鞅擄魏建奇功
099 第九十九回　　商鞅四馬分屍死　蘇秦六國說合縱
100 第一○○回　　六龍會蘇秦掛印　張儀計秦說六國
101 第一○一回　　張儀說話俟事秦　孟嘗君養士出關
102 第一○二回　　子噲傳位於子之　孫臏隱跡埋姓名
103 第一○三回　　燕昭王伐齊報仇　齊泯王逃奔即墨
104 第一○四回　　藺相如完璧歸趙　齊田單火牛復齊
105 第一○五回　　范睢脫廁西入秦　不韋西遊說立嗣
106 第一○六回　　不韋計取朱姬女　朱氏生政於邯鄲
107 第一○七回　　秦王代周統天下　田單興兵復聊城
108 第一○八回　　莊襄王發兵征趙　平原君合縱干楚
109 第一○九回　　信陵君符救趙　秦蒙驁興兵伐魏
110 第一一○回　　趙王興兵取燕邑　春申君合縱伐秦
111 第一一一回　　朱後淫寵於嫪毒　秦王計併吞六國
112 第一一二回　　秦王復仇伐趙國　荊軻西行刺秦王
113 第一一三回　　秦王命蒙驁伐燕　魏王詐降劫秦寨
114 第一一四回　　李信以眾征楚國　王賁詐巡撫燕地
