000 本書說明
001 第一回　　莊王往西嶽求嗣
002 第二回　　嶽神奏上帝
003 第三回　　妙善公主降生
004 第四回　　朝中招選女婿
005 第五回　　妙善不從招贅
006 第六回　　妙善後園修行
007 第七回　　莊王夫婦園中勸女
008 第八回　　彩女承旨勸公主
009 第九回　　三宮主堅辭父王
010 第十回　　妙善往白雀寺
011 第十一回　　寺中神將助力
012 第十二回　　莊王火燒白雀寺
013 第十三回　　妙善雲陽赴死
014 第十四回　　妙善魂遊地府
015 第十五回　　妙善還魂逢釋迦點化
016 第十六回　　香山修禪化善才龍女
017 第十七回　　妙善化身治病
018 第十八回　　妙善揭榜入國
019 第十九回　　妙善入宮視病救活二姐
020 第二十回　　仙人手目調藥
021 第二十一回　　妙善駕雲入香山
022 第二十二回　　獅象托身脫化清音
023 第二十三回　　莊王被魔受難
024 第二十四回　　善才領兵收妖
025 第二十五回　　妙善救得君臣返國
026 第二十六回　　妙善一家骨肉完聚
