001 第一回　　移孝作忠倫常大變　量材器使皇路飛騰
002 第二回　　假孝子割股要名　醜新人回頭失媚
003 第三回　　虐孤兒晚娘施毒手　招遊妓俗吏寫閑情
004 第四回　　呂祖閣半仙佔禍福　廣和居市儈顯神通
005 第五回　　暗挑逗歌曲寄相思　真莽撞貪杯失巨款
006 第六回　　裁壽衣借端通內線　論相法順口托人情
007 第七回　　靠虛火施司務揚威　為乾兒宋媒婆出力
008 第八回　　虞子厚探親東昌府　郭丕基倒楣鎮江城
009 第九回　　信鸞仙大府護飛蝗　全蟻命進官乘餓馬
010 第十回　　老吏著書官場盡相　高明罵座奴子羞顏
011 第十一回　　覆雨翻雲心思刻毒　偷天換日手段高強
012 第十二回　　文章僧命誤煞功名　機械存心變生骨肉
