001 老殘遊記二編 3900 第一回 　　元機旅店傳龍語　素壁丹青繪馬鳴
002 老殘遊記二編 3901 第二回 　　宋公子蹂躪優曇花　德夫人憐惜靈芝草
003 老殘遊記二編 3902 第三回 　　陽偶陰奇參大道　男歡女悅證初禪
004 老殘遊記二編 3903 第四回 　　九轉成丹破壁飛　七年返本歸家坐
005 老殘遊記二編 3904 第五回 　　俏逸雲除慾除盡　德慧生救人救澈
006 老殘遊記二編 3905 第六回 　　斗姥宮中逸雲說法　觀音庵裡環翠離塵
007 老殘遊記二編 3906 第七回 　　銀漢浮槎仰瞻月姊　森羅寶殿伏見閻王
008 老殘遊記二編 3907 第八回 　　血肉飛腥油鍋煉骨　語言積惡石磨研魂
009 老殘遊記二編 3908 第九回 　　德業積成陰世富　善緣發動化身香
