052 封神演義一改 5515 第五十二回 　　絕龍嶺聞仲歸天
053 封神演義一改 5516 第五十三回 　　鄧九公奉敕西征
054 封神演義一改 5517 第五十四回 　　土行孫立功顯耀
055 封神演義一改 5518 第五十五回 　　土行孫歸伏西岐
056 封神演義一改 5519 第五十六回 　　子牙設計收九公
057 封神演義一改 5520 第五十七回 　　冀州蘇侯伐西岐
058 封神演義一改 5521 第五十八回 　　子牙西岐逢呂岳
059 封神演義一改 5522 第五十九回 　　殷洪下山收四將
060 封神演義一改 5523 第六十回 　　馬元下山助殷洪
061 封神演義一改 5524 第六十一回 　　太極圖殷洪絕命
062 封神演義一改 5525 第六十二回 　　張山李錦伐西岐
063 封神演義一改 5526 第六十三回 　　申公豹說反殷郊
064 封神演義一改 5527 第六十四回 　　羅宣火焚西岐城
065 封神演義一改 5528 第六十五回 　　殷郊岐山受犁鋤
066 封神演義一改 5529 第六十六回 　　洪錦西岐城大戰
067 封神演義一改 5530 第六十七回 　　姜子牙金臺拜將
068 封神演義一改 5531 第六十八回 　　首陽山夷齊阻兵
069 封神演義一改 5532 第六十九回 　　孔宣兵阻金雞嶺
070 封神演義一改 5533 第七十回 　　準提道人收孔宣
071 封神演義一改 5534 第七十一回 　　姜子牙三路分兵
072 封神演義一改 5535 第七十二回 　　廣成三謁碧遊宮
073 封神演義一改 5536 第七十三回 　　青龍關飛虎折兵
074 封神演義一改 5537 第七十四回 　　哼哈二將顯神通
075 封神演義一改 5538 第七十五回 　　土行孫盜騎陷身
076 封神演義一改 5539 第七十六回 　　鄭倫捉將取汜水
077 封神演義一改 5540 第七十七回 　　老子一爇化三清
078 封神演義一改 5541 第七十八回 　　三教會破誅仙陣
079 封神演義一改 5542 第七十九回 　　穿雲關四將被擒
080 封神演義一改 5543 第八十回 　　楊任下山破瘟司
081 封神演義一改 5544 第八十一回 　　子牙潼關遇痘神
082 封神演義一改 5545 第八十二回 　　三教大會萬仙陣
083 封神演義一改 5546 第八十三回 　　三大師收獅象犼
084 封神演義一改 5547 第八十四回 　　子牙兵取臨潼關
085 封神演義一改 5548 第八十五回 　　鄧芮二侯歸周主
086 封神演義一改 5549 第八十六回 　　澠池縣五岳歸天
087 封神演義一改 5550 第八十七回 　　土行孫夫妻陣亡
088 封神演義一改 5551 第八十八回 　　武王白魚跳龍舟
089 封神演義一改 5552 第八十九回 　　紂王敲骨剖孕婦
090 封神演義一改 5553 第九十回 　　子牙捉神荼鬱壘
091 封神演義一改 5554 第九十一回 　　蟠龍嶺燒鄔文化
092 封神演義一改 5555 第九十二回 　　楊戩哪吒收七怪
093 封神演義一改 5556 第九十三回 　　金吒智取游魂關
094 封神演義一改 5557 第九十四回 　　文煥怒斬殷破敗
095 封神演義一改 5558 第九十五回 　　子牙暴紂王十罪
096 封神演義一改 5559 第九十六回 　　子牙發柬擒妲己
097 封神演義一改 5560 第九十七回 　　摘星樓紂王自焚
098 封神演義一改 5561 第九十八回 　　周武王鹿臺散財
099 封神演義一改 5562 第九十九回 　　姜子牙歸國封神
100 封神演義一改 5563 第一○○回 　　武王封列國諸侯
