062 粉妝樓 2276 第六十二回 　　穿山甲遇過天星　祁巧雲替柏小姐
063 粉妝樓 2277 第六十三回 　　劫法場龍標被捉　走黑路秦環歸山
064 粉妝樓 2278 第六十四回 　　柏公削職轉淮安　侯登懷金投米賊
065 粉妝樓 2279 第六十五回 　　柏文連欣逢眾爵主　李逢春暗救各公爺
066 粉妝樓 2280 第六十六回 　　邊頭關番兵入寇　望海樓唐將被擒
067 粉妝樓 2281 第六十七回 　　眾奸臣乘亂圖君　各英雄興兵伐怨
068 粉妝樓 2282 第六十八回 　　謝應登高山顯聖　祁巧雲平地成仙
069 粉妝樓 2283 第六十九回 　　粉面金剛槍挑王虎　金頭太歲鐧打康龍
070 粉妝樓 2284 第七十回 　　沈謙議執眾公爺　米順技窮群爵主
071 粉妝樓 2285 第七十一回 　　祁巧雲駕雲入相府　穿山甲戴月出天牢
072 粉妝樓 2286 第七十二回 　　破長安裏應外合　入皇宮訴屈伸冤
073 粉妝樓 2287 第七十三回 　　眾爵位遇赦征番　各英雄提兵平寇
074 粉妝樓 2288 第七十四回 　　玉面虎日搶三關　火眼彪夜平入寨
075 粉妝樓 2289 第七十五回 　　小英雄八路進兵　老公爺一身歸國
076 粉妝樓 2290 第七十六回 　　獻地圖英雄奏凱　順天心豪傑收兵
077 粉妝樓 2291 第七十七回 　　明忠奸朝廷執法　報恩讎眾士娛懷
078 粉妝樓 2292 第七十八回 　　滿春園英雄歇馬　飛雲殿天子封官
079 粉妝樓 2293 第七十九回 　　結絲蘿共成花燭　乘鸞鳳同遂姻緣
080 粉妝樓 2294 第八十回 　　凌煙閣上千秋標義　粉妝樓前百世流芳
