031 三寶太監西洋記 10768 第三十一回 　　姜金定三施妙計　張天師淨掃妖兵
032 三寶太監西洋記 10769 第三十二回 　　金蓮寶象國服降　賓童龍國王納款
033 三寶太監西洋記 10770 第三十三回 　　寶船經過羅斛國　寶船計破謝文彬
034 三寶太監西洋記 10771 第三十四回 　　爪哇國負固不賓　咬海干恃強出陣
035 三寶太監西洋記 10772 第三十五回 　　大將軍連聲三捷　咬海干連敗而逃
036 三寶太監西洋記 10773 第三十六回 　　咬海干鄰國借兵　王神姑途中相遇
037 三寶太監西洋記 10774 第三十七回 　　王神姑生擒護衛　張狼牙馘斬神姑
038 三寶太監西洋記 10775 第三十八回 　　張天師活捉神姑　王神姑七十二變
039 三寶太監西洋記 10776 第三十九回 　　張天師連迷妖術　王神姑誤掛數珠
040 三寶太監西洋記 10777 第四十回 　　金碧峰輕恕神姑　王神姑求援火母
041 三寶太監西洋記 10778 第四十一回 　　天師連陣勝火母　火母用計借火龍
042 三寶太監西洋記 10779 第四十二回 　　金碧峰神運缽盂　金缽盂困住火母
043 三寶太監西洋記 10780 第四十三回 　　火母求驪山老母　老母求太華陳摶
044 三寶太監西洋記 10781 第四十四回 　　老母求國師講和　元帥用奇計取勝
045 三寶太監西洋記 10782 第四十五回 　　元帥重治爪哇國　元帥厚遇灃淋王
046 三寶太監西洋記 10783 第四十六回 　　元帥親進女兒國　南軍誤飲子母水
047 三寶太監西洋記 10784 第四十七回 　　馬太監征頂陽洞　唐狀元配黃鳳仙
048 三寶太監西洋記 10785 第四十八回 　　天師擒住王蓮英　女王差下長公主
049 三寶太監西洋記 10786 第四十九回 　　天師大戰女宮主　國師親見觀世音
050 三寶太監西洋記 10787 第五十回 　　女兒國力盡投降　滿剌伽誠心接待
051 三寶太監西洋記 10788 第五十一回 　　張先鋒計擒蘇幹　蘇門答首服南兵
052 三寶太監西洋記 10789 第五十二回 　　先鋒出陣掉了魂　王明取得隱身草
053 三寶太監西洋記 10790 第五十三回 　　王明計進番總府　王明計取番天書
