075 繡雲閣 10527 第七十五回 　　集惡村厲鬼排陣　居貨鎮仙子勸淫
076 繡雲閣 10528 第七十六回 　　梨花島大戰毒虎　杏子山義聚群妖
077 繡雲閣 10529 第七十七回 　　戰野牛苦無收伏　發慈悲幸遣菩薩
078 繡雲閣 10530 第七十八回 　　顯佛法貪狼俯首　歸舊洞諸道重圓
079 繡雲閣 10531 第七十九回 　　試道行設莊以待　收異士談虎而醒
080 繡雲閣 10532 第八十回 　　元冥關賣道求友　梭兒峽除暴伏強
081 繡雲閣 10533 第八十一回 　　夢覺園舌擒淫婦　金花庫言破財奴
082 繡雲閣 10534 第八十二回 　　平海怪君心寵愛　入龍宮玩好難名
083 繡雲閣 10535 第八十三回 　　離龍宮回國繳旨　敗虎陣入洞興戎
084 繡雲閣 10536 第八十四回 　　游碧玉是非顛倒　選北海道友重逢
085 繡雲閣 10537 第八十五回 　　化兒童赤松試道　登仙座道祖談功
086 繡雲閣 10538 第八十六回 　　九頭怪出戶班師　八境宮假言傳道
087 繡雲閣 10539 第八十七回 　　擒九頭紫霞請寶　破萬頃降虛來臨
088 繡雲閣 10540 第八十八回 　　白兔莊農人說怪　西村地老丈談妖
089 繡雲閣 10541 第八十九回 　　男女妖全憑舌伏　牛虎鬥又遇天仙
090 繡雲閣 10542 第九十回 　　陰鎖亭預排陣勢　古佛剎得遇須無
091 繡雲閣 10543 第九十一回 　　破萬鬼靈宅失利　擒一鼠繡霧遭殃
092 繡雲閣 10544 第九十二回 　　入繡都化及陳茂　到蛇嶺勸轉匪人
093 繡雲閣 10545 第九十三回 　　天魚池荷妖買道　走馬嶺黃蝶為仇
094 繡雲閣 10546 第九十四回 　　遣仙鶴指明去路　恨豔冶排設色坑
095 繡雲閣 10547 第九十五回 　　鐵旗山老道賜寶　銀瓶洞酒鬼復仇
096 繡雲閣 10548 第九十六回 　　銅臭陣耗星吐氣　烈燄關忍漢標名
097 繡雲閣 10549 第九十七回 　　萬星臺師徒聚首　群仙會議論傳功
098 繡雲閣 10550 第九十八回 　　棄海歸途遇靈宅　三緘登嶺見紫霞
099 繡雲閣 10551 第九十九回 　　養胎嬰猿精竊道　收金鐘道士拜門
100 繡雲閣 10552 第一○○回 　　收吳子三緘巧辯　設西方萬佛奇談
101 繡雲閣 10553 第一○一回 　　施妙法靈宅縮首　奏元功聖旨頒行
102 繡雲閣 10554 第一○二回 　　數次化身勤指點　幾番形變巧提撕
103 繡雲閣 10555 第一○三回 　　試道法離奇可羨　講仙蹤曲折堪思
104 繡雲閣 10556 第一○四回 　　化賣鏡妖術解迷　導游冥仙子力勸
105 繡雲閣 10557 第一○五回 　　門屏內巧獻瑞寶　睡夢中誤認龍宮
106 繡雲閣 10558 第一○六回 　　游都外倏逢復禮　入部衙故意談妖
107 繡雲閣 10559 第一○七回 　　罵野道戎興邇室　尋貴宦妖遇鬼頭
108 繡雲閣 10560 第一○八回 　　鬼縫中地祗送食　茅篷裡夫婦認親
