001 躋雲樓 10722 第一回 　　產英男河中浮玉簡
002 躋雲樓 10723 第二回 　　探慈母林內拾金囊
003 躋雲樓 10724 第三回 　　山陰嶺借宿訂喜耦
004 躋雲樓 10725 第四回 　　涇陽陂寄信結奇緣
005 躋雲樓 10726 第五回 　　合巹夜新婚溯舊約
006 躋雲樓 10727 第六回 　　奠雁晨佳人辦才郎
007 躋雲樓 10728 第七回 　　尋銅錘孤兒保性命
008 躋雲樓 10729 第八回 　　辨鐵鞭貞女全名節
009 躋雲樓 10730 第九回 　　白石崗焚牒拘猛獸
010 躋雲樓 10731 第十回 　　黑水津仗劍斬悍蛟
011 躋雲樓 10732 第十一回 　　虎皮將救駕沙漠場
012 躋雲樓 10733 第十二回 　　龍甲軍破敵巴里坤
013 躋雲樓 10734 第十三回 　　歸故里父子受榮祿
014 躋雲樓 10735 第十四回 　　宴群仙夫妻登蓬瀛
