001 第一回　　賀知府為朋友重義勾官
002 第二回　　宋秀才因詩酒輕人賈禍
003 第三回　　惡大舅買盜扳姐夫
004 第四回　　庸先生出對欺弟子
005 第五回　　常先生明扯闊背地求人
006 第六回　　皮阿舅瞎算計當場作惡
007 第七回　　肆小人惡毒圖財害命
008 第八回　　感太守神明死裡逃生
009 第九回　　壽文重先生明出丑
010 第十回　　才貌美兒女議聯姻
011 第十一回　　姻緣到兒與女賽紅絲成配偶
012 第十二回　　時運至父與子逞素學步雲梯
013 第十三回　　弄奸人造二詩妄傳消息
014 第十四回　　貪利漢假一紮聳斷婚姻
015 第十五回　　小人弄小人多反覆爭竟遭凶
016 第十六回　　君子成君子無慚愧終歸於吉
