001 連城璧 13023 第一卷 　　譚楚玉戲裡傳情　劉藐姑曲終死節
002 連城璧 13024 第二卷 　　老星家戲改八字　窮皂隸陡發萬金
003 連城璧 13025 第三卷 　　乞兒行好事　皇帝做媒人
004 連城璧 13026 第四卷 　　清官不受扒灰　謗義士難伸竊婦冤
005 連城璧 13027 第五卷 　　美女同遭花燭冤　村郎偏享溫柔福
006 連城璧 13028 第六卷 　　遭風遇盜致奇贏　讓本還財成巨富
007 連城璧 13029 第七卷 　　妒妻守有夫之寡　懦夫還不死之魂
008 連城璧 13030 第八卷 　　妻妾敗綱常　梅香完節操
009 連城璧 13031 第九卷 　　寡婦設計贅新郎　眾美齊心奪才子
010 連城璧 13032 第十卷 　　吃新醋正室蒙冤　續舊歡家堂和事
011 連城璧 13033 第十一卷 　　重義奔喪奴僕好　貪財殞命子孫愚
012 連城璧 13034 第十二卷 　　貞女守貞來異謗　朋儕相謔致奇冤
