045 歷史通俗演義-前漢 4502 第四十五回 　　聽陸生交歡將相　連齊兵合拒權奸
046 歷史通俗演義-前漢 4503 第四十六回 　　奪禁軍捕誅諸呂　迎代王廢死故君
047 歷史通俗演義-前漢 4504 第四十七回 　　兩重喜竇後逢兄弟　一紙書文帝服蠻夷
048 歷史通俗演義-前漢 4505 第四十八回 　　遭眾忌賈誼被遷　正閫儀袁盎強諫
049 歷史通俗演義-前漢 4506 第四十九回 　　辟陽侯受椎斃命　淮南王謀反被囚
050 歷史通俗演義-前漢 4507 第五十回 　　中行說叛國降虜庭　緹縈女上書贖父罪
051 歷史通俗演義-前漢 4508 第五十一回 　　老郎官犯顏救魏尚　賢丞相當面劾鄧通
052 歷史通俗演義-前漢 4509 第五十二回 　　爭棋局吳太子亡身　肅軍營周亞夫守法
053 歷史通俗演義-前漢 4510 第五十三回 　　嘔心血氣死申屠嘉　主首謀變起吳王濞
054 歷史通俗演義-前漢 4511 第五十四回 　　信袁盎詭謀斬御史　遇趙涉依議出奇兵
055 歷史通俗演義-前漢 4512 第五十五回 　　平叛軍太尉建功　保孱王鄰封乞命
056 歷史通俗演義-前漢 4513 第五十六回 　　王美人有緣終作後　栗太子被廢復蒙冤
057 歷史通俗演義-前漢 4514 第五十七回 　　索罪犯曲全介弟　賜肉食戲弄條侯
058 歷史通俗演義-前漢 4515 第五十八回 　　嗣帝祚董生進三策　應主召申公陳兩言
059 歷史通俗演義-前漢 4516 第五十九回 　　迎母姊親馳御駕　訪公主喜遇歌姬
060 歷史通俗演義-前漢 4517 第六十回 　　因禍為福仲卿得官　寓正於諧東方善辯
061 歷史通俗演義-前漢 4518 第六十一回 　　挑嫠女即席彈琴　別嬌妻入都獻賦
062 歷史通俗演義-前漢 4519 第六十二回 　　厭夫貧下堂致悔　開敵釁出塞無功
063 歷史通俗演義-前漢 4520 第六十三回 　　執國法王恢受誅　罵座客灌夫得罪
064 歷史通俗演義-前漢 4521 第六十四回 　　遭鬼祟田蚡斃命　撫夷人司馬揚鑣
065 歷史通俗演義-前漢 4522 第六十五回 　　竇太主好淫甘屈膝　公孫弘變節善承顏
066 歷史通俗演義-前漢 4523 第六十六回 　　飛將軍射石驚奇　愚主父受金拒諫
067 歷史通俗演義-前漢 4524 第六十七回 　　失儉德故人燭隱　慶凱旋大將承恩
068 歷史通俗演義-前漢 4525 第六十八回 　　舅甥踵起一戰封侯　父子敗謀九重討罪
069 歷史通俗演義-前漢 4526 第六十九回 　　勘叛案重興大獄　立戰功還挈同胞
070 歷史通俗演義-前漢 4527 第七十回 　　賢汲黯直諫救人　老李廣失途刎首
071 歷史通俗演義-前漢 4528 第七十一回 　　報私仇射斃李敢　發詐謀致死張湯
